N,epsilon,method,tf32_tol,fp64_tol,tf32_maxiter,fp64_maxiter,repeats,time_tf32_initial_sec,time_orthogonalize_sec,time_rayleigh_transform_sec,time_fp64_refine_sec,time_backtransform_sec,time_total_sec,absolute_residual,tf32_fixed_point_residual,fp64_fixed_point_residual,tf32_iterations,fp64_iterations,tf32_converged,fp64_converged,gpu_name,status,error
4096,0.06,rayleigh_mixed_no_norm,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,0.015574589278548956,0.066044199839234347,0.015962098818272354,0.032877568528056143,0.0079032180830836303,0.13836167454719545,2.1426920857951504e-09,3.9924544421861208e-07,1.909366655494054e-15,7,3,true,true,NVIDIA A100-SXM4-80GB,ok,
8192,0.06,rayleigh_mixed_no_norm,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,0.073572028521448368,0.39201436536386608,0.12518143393099307,0.29436270901933315,0.061374817881733178,0.94650535471737385,8.2038316125647919e-09,4.6641010967792237e-07,2.3042348913213873e-15,7,3,true,true,NVIDIA A100-SXM4-80GB,ok,
16384,0.06,rayleigh_mixed_no_norm,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,0.52064037611708047,1.1385969475843012,1.0500274366699158,2.0207160345278679,0.49693302866071465,5.2269138235598804,1.9872695593421347e-08,5.3660300835846856e-07,1.8829013359742602e-15,7,3,true,true,NVIDIA A100-SXM4-80GB,ok,
26000,0.06,rayleigh_mixed_no_norm,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,2.555082185007632,3.7837692530825735,4.0244976736605169,8.3218039780855175,2.0505666801705957,20.735719770006835,3.4732870470685511e-08,5.9965964490308206e-07,1.8756609111455333e-15,7,3,true,true,NVIDIA A100-SXM4-80GB,ok,
