method,exit_code,status,requested_k,returned_k,basis_cols,iterations,matvecs,solve_time_sec,solve_time_source,max_relative_eigen_residual,max_relative_eigen_residual_index,relative_fixed_point_residual,best_so_far_updated,best_so_far_step,best_so_far_source,best_so_far_max_residual,final_returned_from_best_so_far,pair28_best_residual,pair29_best_residual,passed_relative_threshold,result_dir,log_dir
IPT_block_active_selective_Davidson,0,success,30,30,42,200,,1.144817e+01,ipt_log_solve_field,6.1287423654327784e-14,25,1.0326637785192498,1,54,davidson_continuation,6.1287423654327784e-14,0,3.8366826337522698e-14,5.5081989336521346e-14,1,/fs1/home/nudt_liujie/ftt/IPT_C_GPU/results/sparse/CH4_K30_debug/ipt_vs_primme_k30_v1/best_so_far_codex_sbatch_20260703_231545/ipt_block_active_davidson,/fs1/home/nudt_liujie/ftt/IPT_C_GPU/logs/sparse/CH4_K30_dubug/ipt_vs_primme_k30_v1/best_so_far_codex_sbatch_20260703_231545/ipt_block_active_davidson
PRIMME_JDQMR_ETol,0,success,30,30,,59,3811,9.0902963250409812,primme_timing_csv_solve_time_sec,4.4691365249696453e-13,28,,,,,,,,,1,/fs1/home/nudt_liujie/ftt/IPT_C_GPU/results/sparse/CH4_K30_debug/ipt_vs_primme_k30_v1/best_so_far_codex_sbatch_20260703_231545/primme_jdqmr_etol,/fs1/home/nudt_liujie/ftt/IPT_C_GPU/logs/sparse/CH4_K30_dubug/ipt_vs_primme_k30_v1/best_so_far_codex_sbatch_20260703_231545/primme_jdqmr_etol
