N,epsilon,method,tol,maxiter,repeats,time_total_sec,time_iteration_sec,time_finalization_sec,absolute_residual,max_apply_residual,fixed_point_residual,iterations,f_calls,f_calls_per_iteration,converged,gpu_name,status,error
64,0.059999999999999998,acx_gpu_fp64,9.9999999999999998e-13,50,1,0.0011746496893465519,0.0011160499416291714,2.2083986550569534e-05,2.7422027396023894e-13,9.182732461354309e-13,7.471023134192856e-14,5,11,2.2000000000000002,1,NVIDIA A100-SXM4-80GB,ok,
64,0.059999999999999998,original_ipt_gpu_fp64,9.9999999999999998e-13,50,1,0.0016229669563472271,0.0016229669563472271,0,1.4640878627556304e-12,nan,1.9134821468397956e-13,13,13,1,1,NVIDIA A100-SXM4-80GB,ok,
