method,exit_code,status,requested_k,returned_k,basis_cols,iterations,matvecs,solve_time_sec,solve_time_source,max_relative_eigen_residual,max_relative_eigen_residual_index,relative_fixed_point_residual,best_so_far_updated,best_so_far_step,best_so_far_source,best_so_far_max_residual,final_returned_from_best_so_far,pair28_best_residual,pair29_best_residual,passed_relative_threshold,result_dir,log_dir
IPT_block_active_selective_Davidson,3,failed,30,30,46,200,,3.008840e+00,ipt_log_solve_field,1.7044877633422041e-07,29,1.3488352586384105,1,18,davidson,1.7044877633422041e-07,0,7.3800781957518865e-14,1.7044877633422041e-07,0,/fs1/home/nudt_liujie/ftt/IPT_C_GPU/results/sparse/CH4_K30_debug/ipt_vs_primme_k30_v1/best_so_far_codex_failcase_20260703_231852/ipt_block_active_davidson,/fs1/home/nudt_liujie/ftt/IPT_C_GPU/logs/sparse/CH4_K30_dubug/ipt_vs_primme_k30_v1/best_so_far_codex_failcase_20260703_231852/ipt_block_active_davidson
PRIMME_JDQMR_ETol,0,success,30,30,,58,3821,9.3859533310169354,primme_timing_csv_solve_time_sec,4.9343466012323536e-13,26,,,,,,,,,1,/fs1/home/nudt_liujie/ftt/IPT_C_GPU/results/sparse/CH4_K30_debug/ipt_vs_primme_k30_v1/best_so_far_codex_failcase_20260703_231852/primme_jdqmr_etol,/fs1/home/nudt_liujie/ftt/IPT_C_GPU/logs/sparse/CH4_K30_dubug/ipt_vs_primme_k30_v1/best_so_far_codex_failcase_20260703_231852/primme_jdqmr_etol
