davidson_step,active_pair_index,residual_before,residual_after,accepted,basis_cols,max_relative_eigen_residual,max_relative_eigen_residual_index,pair_28_residual,pair_29_residual,orthogonality_error
1,29,0.00072466554796708706,8.8993538711391461e-05,1,34,8.8993538711391461e-05,29,9.9026814896719243e-12,8.8993538711391461e-05,1.7319479184152442e-14
2,29,8.8993538711391461e-05,3.9617089555498891e-05,1,35,3.9617089555498891e-05,29,9.8984148631938818e-12,3.9617089555498891e-05,1.5765166949677223e-14
3,29,3.9617089555498891e-05,2.545183410356276e-05,1,36,2.545183410356276e-05,29,9.401307508732573e-12,2.545183410356276e-05,1.7985612998927536e-14
4,29,2.545183410356276e-05,1.5511749405758496e-05,1,37,1.5511749405758496e-05,29,8.8961025659531364e-12,1.5511749405758496e-05,1.6209256159527285e-14
5,29,1.5511749405758496e-05,1.002034538412658e-05,1,38,1.002034538412658e-05,29,8.0248816429449884e-12,1.002034538412658e-05,1.4876988529977098e-14
6,29,1.002034538412658e-05,9.1004074890405768e-06,1,39,9.1004074890405768e-06,29,7.8623795267166554e-12,9.1004074890405768e-06,1.5765166949677223e-14
7,29,9.1004074890405768e-06,7.6832782765485438e-06,1,40,7.6832782765485438e-06,29,7.5385445437155346e-12,7.6832782765485438e-06,1.8873791418627661e-14
8,29,7.6832782765485438e-06,6.0619334982360356e-06,1,41,6.0619334982360356e-06,29,7.2854292736896106e-12,6.0619334982360356e-06,1.7319479184152442e-14
9,29,6.0619334982360356e-06,4.0068007634943155e-06,1,42,4.0068007634943155e-06,29,7.2594467308913264e-12,4.0068007634943155e-06,1.4210854715202004e-14
10,29,4.0068007634943155e-06,2.9106270438992552e-06,1,43,2.9106270438992552e-06,29,6.9232152153418126e-12,2.9106270438992552e-06,1.5765166949677223e-14
11,29,2.9106270438992552e-06,1.9687648618480422e-06,1,44,1.9687648618480422e-06,29,6.9582358416892829e-12,1.9687648618480422e-06,1.5987211554602254e-14
12,29,1.9687648618480422e-06,1.8200812395220266e-06,1,45,1.8200812395220266e-06,29,6.0934792840229447e-12,1.8200812395220266e-06,1.4654943925052066e-14
13,29,1.8200812395220266e-06,1.1807585145314154e-06,1,46,1.1807585145314154e-06,29,5.1144199775618409e-12,1.1807585145314154e-06,1.9095836023552692e-14
14,29,1.1807585145314154e-06,4.6518780079198593e-07,1,47,4.6518780079198593e-07,29,4.2936727884552141e-12,4.6518780079198593e-07,1.7097434579227411e-14
15,29,4.6518780079198593e-07,2.1166437036523028e-07,1,48,2.1166437036523028e-07,29,3.857939633629732e-12,2.1166437036523028e-07,1.8207657603852567e-14
16,29,2.1166437036523028e-07,1.2134856701743827e-07,1,49,1.2134856701743827e-07,29,3.7808841533555013e-12,1.2134856701743827e-07,1.7097434579227411e-14
17,29,1.2134856701743827e-07,9.4380825363175279e-08,1,50,9.4380825363175279e-08,29,3.7558100195305048e-12,9.4380825363175279e-08,1.6209256159527285e-14
18,29,9.4380825363175279e-08,6.2407676998369069e-08,1,51,6.2407676998369069e-08,29,3.727459249640157e-12,6.2407676998369069e-08,1.5765166949677223e-14
19,29,6.2407676998369069e-08,3.9823812225621797e-08,1,52,3.9823812225621797e-08,29,3.7292459713753323e-12,3.9823812225621797e-08,1.4210854715202004e-14
20,29,3.9823812225621797e-08,2.192462051682252e-08,1,53,2.192462051682252e-08,29,3.7001564042012033e-12,2.192462051682252e-08,1.3988810110276972e-14
