N,epsilon,initial_precision,initial_tol,fp64_tol,initial_maxiter,fp64_maxiter,repeats,time_cusolver_syevd_sec,residual_cusolver_syevd,time_initial_sec,time_fp64_refine_sec,time_mixed_total_sec,residual_mixed,initial_fixed_point_residual,fp64_fixed_point_residual,initial_iterations,fp64_iterations,initial_converged,fp64_converged,gpu_name,status,error
4096,0.01,fp16,0.001,9.9999999999999998e-13,1000,1000,5,0.2151286187581718,4.030676279973345e-10,0.0097704794257879261,0.061300819087773559,0.071071650087833407,6.4471041321286116e-12,9.9550949531924802e-05,4.9934977046971197e-14,2,6,true,true,NVIDIA A100-SXM4-80GB,ok,
4096,0.01,fp32,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,0.2151286187581718,4.030676279973345e-10,0.038073820993304253,0.044299219734966755,0.082373328879475599,6.6457393099286145e-12,3.2480272577486904e-08,5.295593157808457e-14,4,4,true,true,NVIDIA A100-SXM4-80GB,ok,
8192,0.01,fp16,0.001,9.9999999999999998e-13,1000,1000,5,1.4537211369723082,1.5276216379040918e-09,0.02068020896986127,0.44086308358237147,0.46154353236779572,1.6687572695792879e-11,9.9812046794858962e-05,6.1913086392576728e-14,2,6,true,true,NVIDIA A100-SXM4-80GB,ok,
8192,0.01,fp32,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,1.4537211369723082,1.5276216379040918e-09,0.24834677409380673,0.31495443871244788,0.56330155460163955,1.6892304767940885e-11,3.3705573834806427e-08,6.6105264440284743e-14,4,4,true,true,NVIDIA A100-SXM4-80GB,ok,
16384,0.01,fp16,0.001,9.9999999999999998e-13,1000,1000,5,8.9068233311176304,5.7534512230976821e-09,0.094271843880414957,3.5136708311736582,3.6079430676996709,4.5065450360307173e-11,9.9589031985087659e-05,7.8721174435355062e-14,2,6,true,true,NVIDIA A100-SXM4-80GB,ok,
16384,0.01,fp32,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,8.9068233311176304,5.7534512230976821e-09,1.8998075325973331,2.5114935493096708,4.4113013518042861,4.5911903827080737e-11,3.4654543677661819e-08,8.3242923260423373e-14,4,4,true,true,NVIDIA A100-SXM4-80GB,ok,
32768,0.01,fp16,0.001,9.9999999999999998e-13,1000,1000,5,7.3569826781749725e-05,nan,0.6209808328188956,28.625446366332472,29.246427859645337,1.053372882819182e-10,9.9187644595623932e-05,8.7759517840198296e-14,2,6,true,true,NVIDIA A100-SXM4-80GB,partial_failed,CUSOLVER_STATUS_INVALID_VALUE
32768,0.01,fp32,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,7.3569826781749725e-05,nan,15.685884315799921,20.337611790932716,36.023496729042378,1.0237017271857891e-10,3.5480266621639177e-08,9.6132696731343034e-14,4,4,true,true,NVIDIA A100-SXM4-80GB,partial_failed,CUSOLVER_STATUS_INVALID_VALUE
