N,epsilon,initial_precision,initial_tol,fp64_tol,initial_maxiter,fp64_maxiter,repeats,time_cusolver_syevd_sec,residual_cusolver_syevd,time_initial_sec,time_fp64_refine_sec,time_mixed_total_sec,residual_mixed,initial_fixed_point_residual,fp64_fixed_point_residual,initial_iterations,fp64_iterations,initial_converged,fp64_converged,gpu_name,status,error
4096,0.03,fp16,0.001,9.9999999999999998e-13,1000,1000,5,0.21529749026522041,4.0500185750498661e-10,0.0097855169326066978,0.086804442387074229,0.096590202488005164,2.7800157790350803e-10,0.00089707463003952704,6.5857882998423952e-13,2,9,true,true,NVIDIA A100-SXM4-80GB,ok,
4096,0.03,fp32,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,0.21529749026522041,4.0500185750498661e-10,0.046490337979048488,0.060983931832015517,0.10747451912611723,2.7968979083586827e-10,2.3842463031001888e-07,6.6277639896863742e-13,5,6,true,true,NVIDIA A100-SXM4-80GB,ok,
8192,0.03,fp16,0.001,9.9999999999999998e-13,1000,1000,5,1.4551455196924508,1.5155939276058577e-09,0.020587833225727083,0.63528822092339399,0.65587636409327388,8.7674513499316194e-10,0.00089838082371534805,9.6871014141485732e-13,2,9,true,true,NVIDIA A100-SXM4-80GB,ok,
8192,0.03,fp32,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,1.4551455196924508,1.5155939276058577e-09,0.30852247923612597,0.44520870195701717,0.75373146524652834,8.79107409870432e-10,2.5630046068535634e-07,9.7213278112327133e-13,5,6,true,true,NVIDIA A100-SXM4-80GB,ok,
16384,0.03,fp16,0.001,9.9999999999999998e-13,1000,1000,5,8.91372872646898,5.7475433945917397e-09,0.091344315558671951,5.4999647830612961,5.5913093937560916,4.605194938766116e-10,0.00090045631364601704,2.4663763258471862e-13,2,10,true,true,NVIDIA A100-SXM4-80GB,ok,
16384,0.03,fp32,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,8.91372872646898,5.7475433945917397e-09,2.368191143684089,4.0102855999954041,6.378477037046105,4.6349615585424962e-10,2.808582697771206e-07,2.4850979865164426e-13,5,7,true,true,NVIDIA A100-SXM4-80GB,ok,
