davidson_step,active_pair_index,residual_before,residual_after,accepted,basis_cols,max_relative_eigen_residual,max_relative_eigen_residual_index,pair_28_residual,pair_29_residual,orthogonality_error
1,29,0.0024032319638595378,0.00041512210670874262,1,34,0.00041512210670874262,29,6.6455453857186991e-11,0.00041512210670874262,1.0880185641326534e-14
2,29,0.00041512210670874262,0.00011594945704439342,1,35,0.00011594945704439342,29,6.1203687842879849e-11,0.00011594945704439342,1.5654144647214707e-14
3,29,0.00011594945704439342,0.00010960770392874122,1,36,0.00010960770392874122,29,4.9854970593833202e-11,0.00010960770392874122,1.6653345369377348e-14
4,29,0.00010960770392874122,0.00010155356193225864,1,37,0.00010155356193225864,29,4.7280225534251379e-11,0.00010155356193225864,1.4876988529977098e-14
5,29,0.00010155356193225864,5.7748758324926931e-05,1,38,5.7748758324926931e-05,29,3.6737777140499836e-11,5.7748758324926931e-05,1.2656542480726785e-14
6,29,5.7748758324926931e-05,3.5346356563570258e-05,1,39,3.5346356563570258e-05,29,3.6970226961829981e-11,3.5346356563570258e-05,1.3322676295501878e-14
7,29,3.5346356563570258e-05,2.4061243354388414e-05,1,40,2.4061243354388414e-05,29,3.4505319663641142e-11,2.4061243354388414e-05,1.3988810110276972e-14
8,29,2.4061243354388414e-05,1.9956962349682666e-05,1,41,1.9956962349682666e-05,29,2.8139095517990636e-11,1.9956962349682666e-05,1.1768364061026659e-14
9,29,1.9956962349682666e-05,1.9334032769166979e-05,1,42,1.9334032769166979e-05,29,2.7126429066263204e-11,1.9334032769166979e-05,1.7652546091539989e-14
10,29,1.9334032769166979e-05,1.7121386118395748e-05,1,43,1.7121386118395748e-05,29,2.710441744821784e-11,1.7121386118395748e-05,1.2878587085651816e-14
