repeat,pair_index,lambda,relative_eigen_residual,vector_norm
1,0,-40.190776252600706,4.0536138563430503e-13,1.000000000000002
1,1,-39.587783846039827,1.8912480802666728e-13,0.99999999999999911
1,2,-39.530151400183001,2.4506950498126423e-13,0.99999999999999689
1,3,-39.53015140018298,3.5153918525950949e-13,1.0000000000000031
1,4,-39.530151400182945,2.8782784046837767e-13,0.99999999999999944
1,5,-39.412585414388609,2.7040465864604739e-13,1.0000000000000053
1,6,-39.412585414388545,4.9609110424552801e-13,0.99999999999999756
1,7,-39.402524307527798,3.4623176530866858e-13,1.0000000000000051
1,8,-39.402524307527777,2.0886657614300731e-13,1.0000000000000004
1,9,-39.402524307527692,6.8066747931236673e-14,1.0000000000000002
1,10,-39.376663783891829,4.5029297137726435e-13,1.0000000000000004
1,11,-39.376663783891772,2.4028727813129783e-13,1.0000000000000013
1,12,-39.376663783891658,3.2335692909357977e-13,1.0000000000000002
1,13,-39.367701470295536,2.8691130555530539e-13,0.99999999999999512
1,14,-39.367701470295486,2.6204905118126979e-13,1.0000000000000029
1,15,-39.364323150450161,3.951168310204461e-13,0.999999999999997
1,16,-39.364323150450033,3.954346335669215e-13,1.0000000000000024
1,17,-39.364323150449948,4.9219871517080709e-13,0.99999999999999833
1,18,-39.312786707793286,2.7476721328150423e-13,1.0000000000000009
1,19,-39.312786707793258,1.3756310437812329e-13,1.0000000000000029
1,20,-39.312786707793187,6.2960406945815214e-14,0.99999999999999989
1,21,-39.290219883813187,2.9789643924894036e-14,1.0000000000000007
1,22,-39.290219883813094,7.4170032503799096e-14,0.999999999999998
1,23,-39.290219883813087,3.2956886181190708e-13,0.99999999999999534
1,24,-39.176458439526037,3.6011778676506953e-13,1.0000000000000075
1,25,-39.059902131173573,1.4418507058223386e-13,0.99999999999999689
1,26,-39.059902131173523,3.3618723136133387e-13,1
1,27,-39.059902131173416,4.6477196755017975e-13,0.99999999999999944
1,28,-39.023899884567086,3.2506759743726267e-13,1.0000000000000051
1,29,-39.013014208761035,2.5720219350296512e-13,0.99999999999999667
