method,exit_code,status,requested_k,returned_k,basis_cols,iterations,matvecs,solve_time_sec,solve_time_source,max_relative_eigen_residual,max_relative_eigen_residual_index,relative_fixed_point_residual,best_so_far_updated,best_so_far_step,best_so_far_source,best_so_far_max_residual,final_returned_from_best_so_far,pair28_best_residual,pair29_best_residual,relaxed_accept_enabled,accepted_steps,rejected_steps,min_accepted_steps,early_jump_to_continuation,passed_relative_threshold,result_dir,log_dir
IPT_block_active_selective_Davidson,0,success,30,30,41,200,,5.568137e+00,ipt_log_solve_field,4.6510926234542295e-13,25,1.0000246930666654,1,48,davidson_continuation,4.6510926234542295e-13,0,7.8144698813332325e-14,9.8400196135900961e-14,1,48,1,12,0,1,/fs1/home/nudt_liujie/ftt/IPT_C_GPU/results/sparse/CH4_K30_debug/ipt_vs_primme_k30_v1/relaxed_success_20260704_000028/ipt_block_active_davidson,/fs1/home/nudt_liujie/ftt/IPT_C_GPU/logs/sparse/CH4_K30_dubug/ipt_vs_primme_k30_v1/relaxed_success_20260704_000028/ipt_block_active_davidson
PRIMME_JDQMR_ETol,0,success,30,30,,60,3817,8.6442365969996899,primme_timing_csv_solve_time_sec,4.9920876406663721e-13,16,,,,,,,,,,,,,,1,/fs1/home/nudt_liujie/ftt/IPT_C_GPU/results/sparse/CH4_K30_debug/ipt_vs_primme_k30_v1/relaxed_success_20260704_000028/primme_jdqmr_etol,/fs1/home/nudt_liujie/ftt/IPT_C_GPU/logs/sparse/CH4_K30_dubug/ipt_vs_primme_k30_v1/relaxed_success_20260704_000028/primme_jdqmr_etol
