N,epsilon,method,tf32_tol,fp64_tol,tf32_maxiter,fp64_maxiter,repeats,time_tf32_initial_sec,time_fp64_refine_sec,time_finalization_sec,time_mixed_total_sec,absolute_residual,fp64_max_residual,tf32_fixed_point_residual,fp64_fixed_point_residual,tf32_iterations,fp64_iterations,tf32_f_calls,fp64_f_calls,tf32_converged,fp64_converged,gpu_name,status,error
4096,0.12,acx_mixed_tf32_fp64,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,0.025733180809766054,0.29799827933311462,0.0071719625033438202,0.32373170163482429,1.4505470075169168e-10,2.9231888025694707e-10,6.8968636887690508e-07,6.8105024326888598e-14,6,7,13,16,1,1,NVIDIA A100-SXM4-80GB,ok,
8192,0.12,acx_mixed_tf32_fp64,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,0.13324665976688266,2.0855083062313495,0.058229006268084048,2.2187552751041948,2.8256958904458336e-10,1.0934032957915809e-09,6.629437423453042e-07,4.7689836165650527e-13,6,7,13,16,1,1,NVIDIA A100-SXM4-80GB,ok,
16384,0.12,acx_mixed_tf32_fp64,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,0.98856956949457531,13.976694315206259,0.48445290299132465,14.965264310035854,8.6394608935581206e-11,4.863205213614786e-11,6.8062583686081207e-07,7.0061960033811204e-14,6,7,13,16,1,1,NVIDIA A100-SXM4-80GB,ok,
