N,epsilon,method,tf32_tol,fp64_tol,tf32_maxiter,fp64_maxiter,repeats,time_tf32_initial_sec,time_fp64_refine_sec,time_finalization_sec,time_mixed_total_sec,absolute_residual,fp64_max_residual,tf32_fixed_point_residual,fp64_fixed_point_residual,tf32_iterations,fp64_iterations,tf32_f_calls,fp64_f_calls,tf32_converged,fp64_converged,gpu_name,status,error
4096,0.10000000000000001,acx_mixed_tf32_fp64,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,0.019042735919356346,0.20899544879794121,0.0071726080961525438,0.22803861303254963,6.0197300867301653e-11,1.7342228430110483e-09,6.1826175312650536e-07,5.5758667729847254e-13,4,5,8,11,1,1,NVIDIA A100-SXM4-80GB,ok,
8192,0.10000000000000001,acx_mixed_tf32_fp64,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,0.083047915250062943,1.7040456025861204,0.058085369411855936,1.7870938564650714,1.1907717811494432e-10,6.8298661817639087e-10,7.143077773877804e-07,4.290390493572677e-13,4,6,8,13,1,1,NVIDIA A100-SXM4-80GB,ok,
16384,0.10000000000000001,acx_mixed_tf32_fp64,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,0.61222826121374962,9.751678827311844,0.48685129545629025,10.363907462358474,1.465786562864758e-09,3.5030807755351061e-09,6.848490433827921e-07,5.3640329474980428e-13,4,5,8,11,1,1,NVIDIA A100-SXM4-80GB,ok,
