N,epsilon,method,tf32_tol,fp64_tol,tf32_maxiter,fp64_maxiter,repeats,time_tf32_initial_sec,time_fp64_refine_sec,time_finalization_sec,time_mixed_total_sec,absolute_residual,fp64_max_residual,tf32_fixed_point_residual,fp64_fixed_point_residual,tf32_iterations,fp64_iterations,tf32_f_calls,fp64_f_calls,tf32_converged,fp64_converged,gpu_name,status,error
4096,0.080000000000000002,acx_mixed_tf32_fp64,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,0.027345193084329367,0.16546541415154933,0.0071792342700064179,0.19281101487576963,1.8569307030220858e-10,6.371972855201828e-10,9.8418945917700937e-07,9.5241524959900358e-13,3,4,6,8,1,1,NVIDIA A100-SXM4-80GB,ok,
8192,0.080000000000000002,acx_mixed_tf32_fp64,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,0.083295136503875253,1.4523495939560234,0.05825954582542181,1.5356450502760708,3.481588251477278e-11,1.2822227941886193e-10,3.0480821491706682e-07,4.6073547182161474e-14,4,5,8,11,1,1,NVIDIA A100-SXM4-80GB,ok,
16384,0.080000000000000002,acx_mixed_tf32_fp64,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,0.61350145656615496,11.431677697319538,0.4846038374118507,12.04517964227125,5.9701092427479349e-11,1.3202078094513402e-10,2.916198473546061e-07,4.158402501498079e-14,4,6,8,13,1,1,NVIDIA A100-SXM4-80GB,ok,
