davidson_step,active_pair_index,residual_before,residual_after,accepted,basis_cols,max_relative_eigen_residual,max_relative_eigen_residual_index,pair_28_residual,pair_29_residual,orthogonality_error,restarted
1,29,0.00084897317269887705,4.665528668252402e-05,1,34,4.665528668252402e-05,29,1.1793663480636095e-11,4.665528668252402e-05,1.3322676295501878e-14,0
2,29,4.665528668252402e-05,2.3162903796039551e-05,1,35,2.3162903796039551e-05,29,1.1192090190199086e-11,2.3162903796039551e-05,1.8873791418627661e-14,0
3,29,2.3162903796039551e-05,1.4297163861888102e-05,1,36,1.4297163861888102e-05,29,1.0788832800992611e-11,1.4297163861888102e-05,1.532107773982716e-14,0
4,29,1.4297163861888102e-05,6.7182443363435644e-06,1,37,6.7182443363435644e-06,29,1.0137101053039049e-11,6.7182443363435644e-06,1.5987211554602254e-14,0
5,29,6.7182443363435644e-06,4.6410458934448529e-06,1,38,4.6410458934448529e-06,29,9.4553497245792433e-12,4.6410458934448529e-06,1.6875389974302379e-14,0
6,29,4.6410458934448529e-06,3.5971818284713829e-06,1,39,3.5971818284713829e-06,29,8.9524426573930011e-12,3.5971818284713829e-06,1.354472090042691e-14,0
7,29,3.5971818284713829e-06,2.2944603901709998e-06,1,40,2.2944603901709998e-06,29,8.9515965364216311e-12,2.2944603901709998e-06,1.4210854715202004e-14,0
8,29,2.2944603901709998e-06,1.4071210051798474e-06,1,41,1.4071210051798474e-06,29,8.850538074276978e-12,1.4071210051798474e-06,1.354472090042691e-14,0
9,29,1.4071210051798474e-06,8.0061183985827124e-07,1,42,8.0061183985827124e-07,29,8.3325061500706926e-12,8.0061183985827124e-07,1.4432899320127035e-14,0
10,29,8.0061183985827124e-07,4.4460343492399062e-07,1,43,4.4460343492399062e-07,29,8.3256751259831612e-12,4.4460343492399062e-07,1.3655743202889425e-14,0
11,29,4.4460343492399062e-07,2.8037536310120666e-07,1,44,2.8037536310120666e-07,29,8.0495624647212365e-12,2.8037536310120666e-07,1.6431300764452317e-14,0
12,29,2.8037536310120666e-07,2.6804907708390143e-07,1,45,2.6804907708390143e-07,29,6.762986627652175e-12,2.6804907708390143e-07,1.4654943925052066e-14,0
13,29,2.6804907708390143e-07,2.6397519850175411e-07,1,46,2.6397519850175411e-07,29,6.3926189694606724e-12,2.6397519850175411e-07,1.4654943925052066e-14,0
14,29,2.6397519850175411e-07,1.841689729947805e-07,1,47,1.841689729947805e-07,29,6.1596192464731987e-12,1.841689729947805e-07,1.6875389974302379e-14,0
15,29,1.841689729947805e-07,1.3552482552060629e-07,1,48,1.3552482552060629e-07,29,6.163977310286313e-12,1.3552482552060629e-07,1.6209256159527285e-14,0
16,29,1.3552482552060629e-07,1.0410794056277661e-07,1,49,1.0410794056277661e-07,29,6.1457037391671087e-12,1.0410794056277661e-07,1.5987211554602254e-14,0
17,29,1.0410794056277661e-07,7.8469131928653001e-08,1,50,7.8469131928653001e-08,29,6.1474355110738317e-12,7.8469131928653001e-08,1.5987211554602254e-14,0
18,29,7.8469131928653001e-08,5.2710247265612621e-08,1,51,5.2710247265612621e-08,29,6.1315726209134456e-12,5.2710247265612621e-08,1.3766765505351941e-14,0
19,29,5.2710247265612621e-08,2.8195017192131637e-08,1,52,2.8195017192131637e-08,29,6.1307428383609022e-12,2.8195017192131637e-08,1.7097434579227411e-14,0
20,29,2.8195017192131637e-08,1.4763791538542574e-08,1,35,1.4763791538542574e-08,29,6.0948983891959005e-12,1.4763791538542574e-08,1.4432899320127035e-14,1
21,29,1.4763791538542574e-08,7.1722213447862044e-09,1,36,7.1722213447862044e-09,29,6.0044178841914068e-12,7.1722213447862044e-09,1.7319479184152442e-14,0
22,29,7.1722213447862044e-09,3.3204230728362578e-09,1,37,3.3204230728362578e-09,29,5.7555620199716217e-12,3.3204230728362578e-09,1.5987211554602254e-14,0
23,29,3.3204230728362578e-09,1.9215725328458991e-09,1,38,1.9215725328458991e-09,29,5.7546346551079214e-12,1.9215725328458991e-09,1.7541523789077473e-14,0
24,29,1.9215725328458991e-09,1.1180358825621802e-09,1,39,1.1180358825621802e-09,29,5.7192204065567325e-12,1.1180358825621802e-09,1.6431300764452317e-14,0
25,29,1.1180358825621802e-09,6.7875307460977714e-10,1,40,6.7875307460977714e-10,29,5.6889172459628743e-12,6.7875307460977714e-10,1.7319479184152442e-14,0
26,29,6.7875307460977714e-10,4.7865090202909831e-10,1,41,4.7865090202909831e-10,29,5.6796349605748128e-12,4.7865090202909831e-10,1.7097434579227411e-14,0
27,29,4.7865090202909831e-10,3.6304246188604926e-10,1,42,3.6304246188604926e-10,29,5.622505698216679e-12,3.6304246188604926e-10,1.7763568394002505e-14,0
28,29,3.6304246188604926e-10,2.5396736596014504e-10,1,43,2.5396736596014504e-10,29,5.6272318900387033e-12,2.5396736596014504e-10,1.5765166949677223e-14,0
29,29,2.5396736596014504e-10,1.7295156774305323e-10,1,44,1.7295156774305323e-10,29,5.6253736479898598e-12,1.7295156774305323e-10,1.5099033134902129e-14,0
