method,exit_code,status,requested_k,returned_k,basis_cols,iterations,matvecs,solve_time_sec,solve_time_source,max_relative_eigen_residual,max_relative_eigen_residual_index,relative_fixed_point_residual,best_so_far_updated,best_so_far_step,best_so_far_source,best_so_far_max_residual,final_returned_from_best_so_far,pair28_best_residual,pair29_best_residual,relaxed_accept_enabled,accepted_steps,rejected_steps,min_accepted_steps,early_jump_to_continuation,cluster_aware_accept_enabled,soft_cluster_locking_enabled,gap28_29,relative_gap28_29,cluster_residual_fro,cluster_residual_max,pair28_lock_state,pair29_lock_state,cluster_hard_locked,cluster_soft_locked_count,passed_relative_threshold,result_dir,log_dir
IPT_block_active_selective_Davidson,0,success,30,30,75,200,,4.952834e+00,ipt_log_solve_field,7.7133167615628224e-13,28,1.4769883277794567,1,34,davidson_continuation,7.7133167615628224e-13,0,7.7124313412320453e-13,6.1482373968689715e-13,1,34,1,12,0,1,1,0.010885675806171946,0.0002789489476544329,nan,nan,inactive,inactive,0,0,1,/fs1/home/nudt_liujie/ftt/IPT_C_GPU/results/sparse/CH4_K30_debug/ipt_vs_primme_k30_v1/cluster_fix_auto_final_gpu_20260706_run2/ipt_block_active_davidson,/fs1/home/nudt_liujie/ftt/IPT_C_GPU/logs/sparse/CH4_K30_dubug/ipt_vs_primme_k30_v1/cluster_fix_auto_final_gpu_20260706_run2/ipt_block_active_davidson
PRIMME_JDQMR_ETol,0,success,30,30,,59,3810,8.2379896971397102,primme_timing_csv_solve_time_sec,4.3896832794227244e-13,24,,,,,,,,,,,,,,,,,,,,,,,,1,/fs1/home/nudt_liujie/ftt/IPT_C_GPU/results/sparse/CH4_K30_debug/ipt_vs_primme_k30_v1/cluster_fix_auto_final_gpu_20260706_run2/primme_jdqmr_etol,/fs1/home/nudt_liujie/ftt/IPT_C_GPU/logs/sparse/CH4_K30_dubug/ipt_vs_primme_k30_v1/cluster_fix_auto_final_gpu_20260706_run2/primme_jdqmr_etol
