davidson_step,active_pair_index,residual_before,residual_after,accepted,basis_cols,max_relative_eigen_residual,max_relative_eigen_residual_index,pair_28_residual,pair_29_residual,orthogonality_error
1,29,0.00029898064360654795,2.2667021414388497e-05,1,34,2.2667021414388497e-05,29,1.1805961411192174e-11,2.2667021414388497e-05,1.7097434579227411e-14
2,29,2.2667021414388497e-05,8.5353944534408888e-06,1,35,8.5353944534408888e-06,29,1.1094331276509179e-11,8.5353944534408888e-06,1.9095836023552692e-14
3,29,8.5353944534408888e-06,4.9245890603410849e-06,1,36,4.9245890603410849e-06,29,8.3201630096811237e-12,4.9245890603410849e-06,1.5987211554602254e-14
4,29,4.9245890603410849e-06,4.3338413722165106e-06,1,37,4.3338413722165106e-06,29,7.5849406817430045e-12,4.3338413722165106e-06,1.5987211554602254e-14
5,29,4.3338413722165106e-06,3.2980625494064943e-06,1,38,3.2980625494064943e-06,29,7.445817359456256e-12,3.2980625494064943e-06,1.3988810110276972e-14
6,29,3.2980625494064943e-06,1.9827148797442785e-06,1,39,1.9827148797442785e-06,29,7.3684734963065081e-12,1.9827148797442785e-06,1.4654943925052066e-14
7,29,1.9827148797442785e-06,9.7289283734381681e-07,1,40,9.7289283734381681e-07,29,7.2166923019151216e-12,9.7289283734381681e-07,1.3100631690576847e-14
8,29,9.7289283734381681e-07,6.8289165811085732e-07,1,41,6.8289165811085732e-07,29,7.0118685256137079e-12,6.8289165811085732e-07,1.7208456881689926e-14
9,29,6.8289165811085732e-07,6.6006619953161454e-07,1,42,6.6006619953161454e-07,29,6.9509268520046144e-12,6.6006619953161454e-07,1.5099033134902129e-14
10,29,6.6006619953161454e-07,5.4975508030689583e-07,1,43,5.4975508030689583e-07,29,6.9299553628516724e-12,5.4975508030689583e-07,1.532107773982716e-14
11,29,5.4975508030689583e-07,4.2290114011422887e-07,1,44,4.2290114011422887e-07,29,6.9353120363928198e-12,4.2290114011422887e-07,1.4876988529977098e-14
12,29,4.2290114011422887e-07,2.3895671694391601e-07,1,45,2.3895671694391601e-07,29,6.8975481734282397e-12,2.3895671694391601e-07,1.5543122344752192e-14
13,29,2.3895671694391601e-07,1.3110515491466962e-07,1,46,1.3110515491466962e-07,29,6.7847076555524789e-12,1.3110515491466962e-07,1.5765166949677223e-14
14,29,1.3110515491466962e-07,5.6595019974216917e-08,1,47,5.6595019974216917e-08,29,6.7817881207844788e-12,5.6595019974216917e-08,1.4876988529977098e-14
15,29,5.6595019974216917e-08,2.8403002934983002e-08,1,48,2.8403002934983002e-08,29,6.7819654415281602e-12,2.8403002934983002e-08,1.5987211554602254e-14
16,29,2.8403002934983002e-08,1.3002622344287145e-08,1,49,1.3002622344287145e-08,29,6.7868052463023693e-12,1.3002622344287145e-08,1.354472090042691e-14
17,29,1.3002622344287145e-08,5.9903171409540012e-09,1,50,5.9903171409540012e-09,29,6.7877465398161332e-12,5.9903171409540012e-09,1.4210854715202004e-14
18,29,5.9903171409540012e-09,3.1133800420032793e-09,1,51,3.1133800420032793e-09,29,6.7352887321904082e-12,3.1133800420032793e-09,1.532107773982716e-14
19,29,3.1133800420032793e-09,2.7020736856876362e-09,1,52,2.7020736856876362e-09,29,6.5063324055574642e-12,2.7020736856876362e-09,1.5765166949677223e-14
20,29,2.7020736856876362e-09,1.6799258014539262e-09,1,53,1.6799258014539262e-09,29,6.3982741902650487e-12,1.6799258014539262e-09,1.532107773982716e-14
