davidson_step,active_pair_index,residual_before,residual_after,accepted,basis_cols,max_relative_eigen_residual,max_relative_eigen_residual_index,pair_28_residual,pair_29_residual,orthogonality_error,restarted,best_so_far_updated,best_so_far_step,best_so_far_max_residual,pair28_best_residual,pair29_best_residual,relaxed_accept_enabled,accept_global_ok,accept_active_ok,accept_locked_safe,accept_reason,reject_retry_count,retry_alpha,retry_denom_clip,accepted_steps,rejected_steps,min_accepted_steps,early_jump_to_continuation
10,29,5.3015283892740011e-07,3.5841951857161701e-07,1,35,3.5841951857161701e-07,29,2.4225178806945133e-12,3.5841951857161701e-07,1.8207657603852567e-14,1,1,10,3.5841951857161701e-07,2.4225178806945133e-12,3.5841951857161701e-07,1,1,1,1,global_ok+active_ok,0,1,3e-09,10,0,12,0
10,28,6.1732116115575814e-12,2.4225178806945133e-12,1,35,3.5841951857161701e-07,29,2.4225178806945133e-12,3.5841951857161701e-07,1.8207657603852567e-14,1,1,10,3.5841951857161701e-07,2.4225178806945133e-12,3.5841951857161701e-07,1,1,1,1,global_ok+active_ok,0,1,3e-09,10,0,12,0
11,29,3.5841951857161701e-07,2.6358447250415465e-07,1,37,2.6358447250415465e-07,29,2.3976912163545461e-12,2.6358447250415465e-07,1.5099033134902129e-14,0,1,11,2.6358447250415465e-07,2.3976912163545461e-12,2.6358447250415465e-07,1,1,1,1,global_ok+active_ok,0,1,3e-09,11,0,12,0
11,26,4.3802723703886539e-12,1.2366227748531373e-12,1,37,2.6358447250415465e-07,29,2.3976912163545461e-12,2.6358447250415465e-07,1.5099033134902129e-14,0,1,11,2.6358447250415465e-07,2.3976912163545461e-12,2.6358447250415465e-07,1,1,1,1,global_ok+active_ok,0,1,3e-09,11,0,12,0
12,29,2.6358447250415465e-07,2.7420594021219261e-07,1,39,2.7420594021219261e-07,29,2.2473247041872271e-12,2.7420594021219261e-07,1.3766765505351941e-14,0,0,11,2.6358447250415465e-07,2.2473247041872271e-12,2.6358447250415465e-07,1,0,1,1,active_ok,0,1,3e-09,12,0,12,0
12,24,3.7931888811005924e-12,2.4557010333365903e-12,1,39,2.7420594021219261e-07,29,2.2473247041872271e-12,2.7420594021219261e-07,1.3766765505351941e-14,0,0,11,2.6358447250415465e-07,2.2473247041872271e-12,2.6358447250415465e-07,1,0,1,1,active_ok,0,1,3e-09,12,0,12,0
13,29,2.7420594021219261e-07,2.3412984578256565e-07,1,41,2.3412984578256565e-07,29,2.2477901907921802e-12,2.3412984578256565e-07,1.7763568394002505e-14,0,1,13,2.3412984578256565e-07,2.2473247041872271e-12,2.3412984578256565e-07,1,1,1,1,global_ok+active_ok,0,1,3e-09,13,0,12,0
13,25,2.6733420674706612e-12,5.8982453982241549e-13,1,41,2.3412984578256565e-07,29,2.2477901907921802e-12,2.3412984578256565e-07,1.7763568394002505e-14,0,1,13,2.3412984578256565e-07,2.2473247041872271e-12,2.3412984578256565e-07,1,1,1,1,global_ok+active_ok,0,1,3e-09,13,0,12,0
14,29,2.3412984578256565e-07,1.6934604495413562e-07,1,43,1.6934604495413562e-07,29,2.0860182134274676e-12,1.6934604495413562e-07,1.4654943925052066e-14,0,1,14,1.6934604495413562e-07,2.0860182134274676e-12,1.6934604495413562e-07,1,1,1,1,global_ok+active_ok,0,1,3e-09,14,0,12,0
14,24,2.4525536456131855e-12,2.4047261221472348e-12,1,43,1.6934604495413562e-07,29,2.0860182134274676e-12,1.6934604495413562e-07,1.4654943925052066e-14,0,1,14,1.6934604495413562e-07,2.0860182134274676e-12,1.6934604495413562e-07,1,1,1,1,global_ok+active_ok,0,1,3e-09,14,0,12,0
