method,repeat,k,time_sec,iterations,matvecs,first_eigenvalue,relative_residual,status,error,tol,maxiter
PRIMME_DYNAMIC,1,30,1.0645058304071426,389,4591,-75.731617400685565,9.0586785791459782e-13,0,,9.9999999999999998e-13,200000
IPT_CUDA_SPARSE,1,30,nan,0,0,nan,nan,3,CUDA runtime error,9.9999999999999998e-13,200
