davidson_step,active_pairs,accepted_corrections,rejected_corrections,correction_norm_before_ortho,correction_norm_after_ortho,residual_before_global,residual_after_global,pair_28_before,pair_28_after,pair_29_before,pair_29_after,accepted,reject_reason,basis_cols_before,basis_cols_after,orthogonality_error_before,orthogonality_error_after
31,29,1,1,4.8417512555870754e-09,3.0066754400493651e-09,7.9880400531035191e-11,4.2102788427252211e-11,8.0252630459376745e-14,7.7128294037421567e-14,7.9880400531035191e-11,4.2102788427252211e-11,1,none,40,41,1.532107773982716e-14,1.6431300764452317e-14
32,29,1,1,2.9826444372367137e-09,1.9405195732100979e-09,4.2102788427252211e-11,3.2338966447682037e-11,7.7128294037421567e-14,7.7067702751078245e-14,4.2102788427252211e-11,3.2338966447682037e-11,1,none,41,42,1.6431300764452317e-14,1.5543122344752192e-14
33,29,1,1,1.843904532871678e-09,1.2830512933337639e-09,3.2338966447682037e-11,3.0698342958454499e-11,7.7067702751078245e-14,7.743535678290898e-14,3.2338966447682037e-11,3.0698342958454499e-11,1,none,42,43,1.5543122344752192e-14,1.5543122344752192e-14
34,29,1,1,1.4624087410405298e-09,1.2039262584611106e-09,3.0698342958454499e-11,2.6115476339856204e-11,7.743535678290898e-14,7.7469023258684621e-14,3.0698342958454499e-11,2.6115476339856204e-11,1,none,43,44,1.5543122344752192e-14,1.7319479184152442e-14
35,29,1,1,1.5678055528810722e-09,1.2331313808994439e-09,2.6115476339856204e-11,2.2065044163770475e-11,7.7469023258684621e-14,7.7148263652290158e-14,2.6115476339856204e-11,2.2065044163770475e-11,1,none,44,45,1.7319479184152442e-14,1.8429702208777599e-14
36,29,1,1,1.2923010867269769e-09,9.5850614791848689e-10,2.2065044163770475e-11,1.4797365705936912e-11,7.7148263652290158e-14,7.7291581580907746e-14,2.2065044163770475e-11,1.4797365705936912e-11,1,none,45,46,1.8429702208777599e-14,2.0983215165415459e-14
37,29,1,1,9.1249019646938199e-10,6.5812629759226463e-10,1.4797365705936912e-11,9.848181310223675e-12,7.7291581580907746e-14,7.6839089942694358e-14,1.4797365705936912e-11,9.848181310223675e-12,1,none,46,47,2.0983215165415459e-14,1.4876988529977098e-14
38,29,1,1,7.9753588463524126e-10,5.9198752081633033e-10,9.848181310223675e-12,7.952624107845506e-12,7.6839089942694358e-14,7.6088886241914754e-14,9.848181310223675e-12,7.952624107845506e-12,1,none,47,48,1.4876988529977098e-14,1.4210854715202004e-14
39,29,1,1,5.9444841521649252e-10,4.0648036490913664e-10,7.952624107845506e-12,6.1019207489097024e-12,7.6088886241914754e-14,7.6342525443973328e-14,7.952624107845506e-12,6.1019207489097024e-12,1,none,48,49,1.4210854715202004e-14,1.3322676295501878e-14
40,29,1,1,4.0076936975717393e-10,2.6082912939608031e-10,6.1019207489097024e-12,4.2793965389393821e-12,7.6342525443973328e-14,7.622840826365798e-14,6.1019207489097024e-12,4.2793965389393821e-12,1,none,49,50,1.3322676295501878e-14,1.5543122344752192e-14
41,29,1,1,1.8854815292090949e-10,1.4309802114457423e-10,4.2793965389393821e-12,2.2818606601091048e-12,7.622840826365798e-14,7.6147500662541459e-14,4.2793965389393821e-12,2.2818606601091048e-12,1,none,50,51,1.5543122344752192e-14,1.4432899320127035e-14
42,29,1,1,1.0514524123792423e-10,8.1767353933324347e-11,2.2818606601091048e-12,1.2447572464338112e-12,7.6147500662541459e-14,7.6207276318540162e-14,2.2818606601091048e-12,1.2447572464338112e-12,1,none,51,52,1.4432899320127035e-14,1.6764367671839864e-14
43,29,1,1,5.0991986698679319e-11,3.789149013847236e-11,1.2447572464338112e-12,6.4683984111816656e-13,7.6207276318540162e-14,7.6214142342679016e-14,1.2447572464338112e-12,6.4683984111816656e-13,1,none,52,53,1.6764367671839864e-14,1.5543122344752192e-14
44,29,1,1,3.0726396903733995e-11,2.1444087795670937e-11,6.4683984111816656e-13,3.1734798196725071e-13,7.6214142342679016e-14,7.6103145420580302e-14,6.4683984111816656e-13,3.1734798196725071e-13,1,none,53,54,1.5543122344752192e-14,1.5099033134902129e-14
45,29,1,1,1.4655531901586982e-11,1.0995416236436284e-11,3.1734798196725071e-13,1.8120274741468385e-13,7.6103145420580302e-14,7.421892078109853e-14,3.1734798196725071e-13,1.8120274741468385e-13,1,none,54,35,1.5099033134902129e-14,1.3988810110276972e-14
46,29,1,1,8.7795997806863337e-12,6.4811888053894301e-12,1.8120274741468385e-13,1.2098861801961909e-13,7.421892078109853e-14,7.4009454933789638e-14,1.8120274741468385e-13,1.2098861801961909e-13,1,none,35,36,1.3988810110276972e-14,1.4876988529977098e-14
47,29,1,1,9.9946237671312427e-12,6.3210119863932964e-12,1.2098861801961909e-13,9.033837819619998e-14,7.4009454933789638e-14,7.3943614539911087e-14,1.2098861801961909e-13,9.033837819619998e-14,1,none,36,37,1.4876988529977098e-14,1.3766765505351941e-14
48,none,0,2,,,9.033837819619998e-14,9.033837819619998e-14,7.3943614539911087e-14,7.3943614539911087e-14,9.033837819619998e-14,9.033837819619998e-14,0,no_valid_correction,37,37,1.3766765505351941e-14,1.3766765505351941e-14
