method,repeat,k,time_sec,iterations,matvecs,first_eigenvalue,relative_residual,status,error,tol,maxiter
PRIMME_DYNAMIC,1,1,0.025762886041775346,84,109,-75.731617400685934,7.7026088416708484e-13,0,,9.9999999999999998e-13,5000
IPT_CUDA_SPARSE,1,1,0.014424773,100,101,-75.731617400685721,7.4106639433150062e-16,0,,9.9999999999999998e-13,100
PRIMME_DYNAMIC,2,1,0.032245588023215532,95,108,-75.731617400685622,6.3367046429525267e-13,0,,9.9999999999999998e-13,5000
IPT_CUDA_SPARSE,2,1,0.014405561999999998,100,101,-75.731617400685721,5.6045257103085454e-16,0,,9.9999999999999998e-13,100
PRIMME_DYNAMIC,3,1,0.025951121933758259,95,108,-75.731617400685622,6.3367046429525267e-13,0,,9.9999999999999998e-13,5000
IPT_CUDA_SPARSE,3,1,0.014379355,100,101,-75.731617400685707,9.2445417696091484e-16,0,,9.9999999999999998e-13,100
PRIMME_DYNAMIC,4,1,0.020799587946385145,95,108,-75.731617400685622,6.3367046429525267e-13,0,,9.9999999999999998e-13,5000
IPT_CUDA_SPARSE,4,1,0.014358804000000001,100,101,-75.731617400685721,5.6097949096170121e-16,0,,9.9999999999999998e-13,100
PRIMME_DYNAMIC,5,1,0.029053787002339959,73,111,-75.73161740068582,9.1289981150701549e-13,0,,9.9999999999999998e-13,5000
IPT_CUDA_SPARSE,5,1,0.014304522,100,101,-75.731617400685707,9.2391702106548147e-16,0,,9.9999999999999998e-13,100
