davidson_step,active_pairs,accepted_corrections,rejected_corrections,correction_norm_before_ortho,correction_norm_after_ortho,residual_before_global,residual_after_global,pair_28_before,pair_28_after,pair_29_before,pair_29_after,accepted,reject_reason,basis_cols_before,basis_cols_after,orthogonality_error_before,orthogonality_error_after
31,29,1,1,1.0157728427614039e-09,7.1284510350026942e-10,1.7348176153050606e-11,1.4767386922809972e-11,6.936870871779864e-14,6.7966737508028985e-14,1.7348176153050606e-11,1.4767386922809972e-11,1,none,44,45,1.3988810110276972e-14,1.4432899320127035e-14
32,29,1,1,9.4125830932285696e-10,6.0654685846991213e-10,1.4767386922809972e-11,1.2088616974081031e-11,6.7966737508028985e-14,6.4689365677495159e-14,1.4767386922809972e-11,1.2088616974081031e-11,1,none,45,46,1.4432899320127035e-14,1.4654943925052066e-14
33,29,1,1,6.0334463553688641e-10,4.2842556413184735e-10,1.2088616974081031e-11,7.8020081940366118e-12,6.4689365677495159e-14,6.3213382946852314e-14,1.2088616974081031e-11,7.8020081940366118e-12,1,none,46,47,1.4654943925052066e-14,1.4876988529977098e-14
34,29,1,1,5.1899114584137174e-10,4.0106225348863517e-10,7.8020081940366118e-12,6.1882029049492517e-12,6.3213382946852314e-14,6.330454034665943e-14,7.8020081940366118e-12,6.1882029049492517e-12,1,none,47,48,1.4876988529977098e-14,1.3988810110276972e-14
35,29,1,1,4.711122705527037e-10,3.1701167356404159e-10,6.1882029049492517e-12,5.3344306018586016e-12,6.330454034665943e-14,6.329825884415867e-14,6.1882029049492517e-12,5.3344306018586016e-12,1,none,48,49,1.3988810110276972e-14,1.5543122344752192e-14
36,29,1,1,3.9396292670862531e-10,2.3912998227821748e-10,5.3344306018586016e-12,5.21672790154556e-12,6.329825884415867e-14,6.3154950709520563e-14,5.3344306018586016e-12,5.21672790154556e-12,1,none,49,50,1.5543122344752192e-14,1.7541523789077473e-14
37,29,1,1,2.8790333596552179e-10,1.9457807522064867e-10,5.21672790154556e-12,3.7999587711952749e-12,6.3154950709520563e-14,6.2977929227329241e-14,5.21672790154556e-12,3.7999587711952749e-12,1,none,50,51,1.7541523789077473e-14,1.5099033134902129e-14
38,29,1,1,1.6302427567155254e-10,1.3419590720951922e-10,3.7999587711952749e-12,2.2417465459020922e-12,6.2977929227329241e-14,6.2925731186969206e-14,3.7999587711952749e-12,2.2417465459020922e-12,1,none,51,52,1.5099033134902129e-14,1.6209256159527285e-14
39,29,1,1,9.9541007710970389e-11,8.2851763403567184e-11,2.2417465459020922e-12,1.3033853037327661e-12,6.2925731186969206e-14,6.2550229577420622e-14,2.2417465459020922e-12,1.3033853037327661e-12,1,none,52,53,1.6209256159527285e-14,1.5099033134902129e-14
40,29,1,1,6.136500524870874e-11,4.6518744008889067e-11,1.3033853037327661e-12,5.9676290666106356e-13,6.2550229577420622e-14,6.2229814698961382e-14,1.3033853037327661e-12,5.9676290666106356e-13,1,none,53,54,1.5099033134902129e-14,1.5099033134902129e-14
