repeat,pair_index,lambda,relative_eigen_residual,vector_norm
1,0,-40.190776252600713,4.0555202168645839e-13,1.0000000000000013
1,1,-39.58778384603972,1.7373538844573965e-13,0.999999999999997
1,2,-39.530151400183087,3.523707880332789e-13,1.0000000000000009
1,3,-39.530151400183051,2.8446038184288468e-13,0.99999999999999789
1,4,-39.530151400182994,3.3316988347538663e-13,0.99999999999999678
1,5,-39.412585414388687,3.6223137255090839e-13,1.0000000000000013
1,6,-39.412585414388573,4.7790608846561936e-13,1.0000000000000036
1,7,-39.402524307527848,1.3264793467215673e-14,0.99999999999999967
1,8,-39.402524307527756,3.0755976062953897e-13,1
1,9,-39.402524307527713,5.8431337471682669e-14,0.99999999999999445
1,10,-39.376663783891743,4.9125849673303362e-13,1.000000000000002
1,11,-39.376663783891672,3.7351917233510426e-13,0.99999999999999878
1,12,-39.376663783891551,4.439894309278195e-13,1.0000000000000013
1,13,-39.367701470295479,4.3849225762671361e-13,0.99999999999999933
1,14,-39.36770147029543,2.4198290252567236e-13,1.0000000000000047
1,15,-39.364323150450026,4.5645466578752363e-13,1.0000000000000013
1,16,-39.364323150449998,4.9920876406663721e-13,1.0000000000000036
1,17,-39.364323150449955,3.3243914638084093e-13,0.99999999999999967
1,18,-39.312786707793229,3.9577850710374783e-13,1.0000000000000022
1,19,-39.312786707793208,3.9989575654938502e-13,0.99999999999999967
1,20,-39.312786707793087,2.6503221020236524e-13,0.99999999999999745
1,21,-39.290219883813201,3.5845363196839175e-13,0.99999999999999789
1,22,-39.290219883813194,1.5829762876801073e-13,1.0000000000000082
1,23,-39.290219883813123,4.9918344476980435e-14,1.0000000000000036
1,24,-39.17645843952608,2.7389511708523892e-13,1.0000000000000104
1,25,-39.059902131173516,4.7718854201958135e-13,1.0000000000000056
1,26,-39.059902131173452,2.4810631910876953e-13,1.0000000000000004
1,27,-39.059902131173409,4.9065141462753604e-13,1.0000000000000018
1,28,-39.023899884567093,1.7845251094608159e-13,1.0000000000000051
1,29,-39.013014208761049,3.9904581072738406e-13,0.99999999999999534
