N,epsilon,method,tf32_tol,fp64_tol,tf32_maxiter,fp64_maxiter,repeats,time_tf32_initial_sec,time_orthogonalize_sec,time_rayleigh_transform_sec,time_fp64_refine_sec,time_backtransform_sec,time_total_sec,absolute_residual,tf32_fixed_point_residual,fp64_fixed_point_residual,tf32_iterations,fp64_iterations,tf32_converged,fp64_converged,gpu_name,status,error
4096,0.11,rayleigh_mixed_mpqr,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,0.021724457573145627,0.26069156369194391,0.017121732980012894,0.032907911762595179,0.0079961776733398441,0.34044184368103741,1.8785258451506082e-09,8.1597283959854879e-07,1.2412206279634509e-14,12,3,true,true,NVIDIA A100-SXM4-80GB,ok,
16384,0.11,rayleigh_mixed_mpqr,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,1.0249294619075955,2.6214312615804376,1.0503150572068989,2.0005943270400168,0.49210871495306491,7.1893788226880133,4.1549089227638036e-08,9.1711111217909151e-07,1.2487736270469397e-14,14,3,true,true,NVIDIA A100-SXM4-80GB,ok,
