repeat,pair_index,lambda,relative_eigen_residual,vector_norm
1,0,-40.190776252600749,4.0535083287504807e-13,1.0000000000000002
1,1,-39.587783846039727,2.2191923996418911e-13,1
1,2,-39.53015140018303,1.0255505811567174e-13,1.0000000000000009
1,3,-39.530151400182994,1.3877722346639511e-13,1.0000000000000038
1,4,-39.530151400182909,1.0976510699275299e-13,1.0000000000000004
1,5,-39.412585414388509,4.0718098872712577e-13,0.99999999999999922
1,6,-39.412585414388474,4.7158394260761889e-13,1.0000000000000009
1,7,-39.402524307527806,2.222289807550047e-13,1.0000000000000013
1,8,-39.402524307527749,4.8564753832276073e-14,1.0000000000000051
1,9,-39.402524307527734,3.0032010985159587e-13,0.99999999999999867
1,10,-39.376663783891715,3.5095854227057336e-13,0.99999999999999711
1,11,-39.376663783891665,3.8208127588153094e-13,1.0000000000000011
1,12,-39.376663783891594,3.5692878033213394e-13,1.0000000000000002
1,13,-39.36770147029543,2.7620062819255778e-13,0.99999999999999756
1,14,-39.367701470295401,3.2661180792962011e-13,0.99999999999999944
1,15,-39.364323150450033,3.4320243664478374e-13,1.0000000000000027
1,16,-39.364323150450026,1.2295827797830308e-13,0.99999999999999445
1,17,-39.364323150449948,1.2340135395392013e-13,0.999999999999998
1,18,-39.312786707793364,3.8221267952947082e-13,1.0000000000000009
1,19,-39.312786707793322,2.6141154391074686e-13,1.0000000000000058
1,20,-39.312786707793279,1.4413426320235205e-13,0.99999999999999745
1,21,-39.290219883813158,2.0548794619555975e-13,0.99999999999999989
1,22,-39.290219883813037,2.9559016754197804e-13,0.99999999999999378
1,23,-39.290219883812902,4.7816328438423278e-14,1.0000000000000018
1,24,-39.17645843952608,3.8196383412305177e-13,1.0000000000000058
1,25,-39.059902131173516,2.2802084962846222e-13,1.0000000000000071
1,26,-39.059902131173438,3.259823416376141e-13,1.0000000000000007
1,27,-39.059902131173395,3.4354833910748212e-13,0.99999999999999589
1,28,-39.023899884567136,2.8856965549818042e-13,1.0000000000000069
1,29,-39.013014208761071,4.7814998384511825e-13,1.0000000000000031
