method,exit_code,status,requested_k,returned_k,basis_cols,iterations,matvecs,solve_time_sec,solve_time_source,max_relative_eigen_residual,max_relative_eigen_residual_index,relative_fixed_point_residual,best_so_far_updated,best_so_far_step,best_so_far_source,best_so_far_max_residual,final_returned_from_best_so_far,pair28_best_residual,pair29_best_residual,relaxed_accept_enabled,accepted_steps,rejected_steps,min_accepted_steps,early_jump_to_continuation,cluster_aware_accept_enabled,soft_cluster_locking_enabled,gap28_29,relative_gap28_29,cluster_residual_fro,cluster_residual_max,pair28_lock_state,pair29_lock_state,cluster_hard_locked,cluster_soft_locked_count,passed_relative_threshold,result_dir,log_dir
IPT_block_active_selective_Davidson,0,success,30,30,73,200,,20.60133005771786,trial_csv_time_total_sec_fallback,8.249662769139736e-13,29,1.7350550429233629,1,33,davidson_continuation,8.249662769139736e-13,0,3.5411896652627055e-13,8.249662769139736e-13,1,33,1,12,0,1,1,0.010885675806100892,0.00027894894765261214,nan,nan,inactive,inactive,0,0,1,/fs1/home/nudt_liujie/ftt/IPT_C_GPU/results/sparse/CH4_K30_debug/ipt_vs_primme_k30_v1/cluster_fix_auto_formal_gpu_20260706_run1/ipt_block_active_davidson,/fs1/home/nudt_liujie/ftt/IPT_C_GPU/logs/sparse/CH4_K30_dubug/ipt_vs_primme_k30_v1/cluster_fix_auto_formal_gpu_20260706_run1/ipt_block_active_davidson
PRIMME_JDQMR_ETol,126,missing_output,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,/fs1/home/nudt_liujie/ftt/IPT_C_GPU/results/sparse/CH4_K30_debug/ipt_vs_primme_k30_v1/cluster_fix_auto_formal_gpu_20260706_run1/primme_jdqmr_etol,/fs1/home/nudt_liujie/ftt/IPT_C_GPU/logs/sparse/CH4_K30_dubug/ipt_vs_primme_k30_v1/cluster_fix_auto_formal_gpu_20260706_run1/primme_jdqmr_etol
