method,exit_code,status,requested_k,returned_k,basis_cols,iterations,matvecs,solve_time_sec,solve_time_source,max_relative_eigen_residual,max_relative_eigen_residual_index,relative_fixed_point_residual,passed_relative_threshold,result_dir,log_dir
IPT_block_active_selective_Davidson,3,failed,30,30,33,200,,1.423688e+00,ipt_log_solve_field,0.0028518627737936716,29,1.2216089789423847,0,/fs1/home/nudt_liujie/ftt/IPT_C_GPU/results/sparse/CH4_K30_debug/ipt_vs_primme_k30_v1/retry_40_extra_ortho_204930/ipt_block_active_davidson,/fs1/home/nudt_liujie/ftt/IPT_C_GPU/logs/sparse/CH4_K30_dubug/ipt_vs_primme_k30_v1/retry_40_extra_ortho_204930/ipt_block_active_davidson
PRIMME_JDQMR_ETol,0,success,30,30,,59,3783,8.3297336890827864,primme_timing_csv_solve_time_sec,4.818628901196418e-13,29,,1,/fs1/home/nudt_liujie/ftt/IPT_C_GPU/results/sparse/CH4_K30_debug/ipt_vs_primme_k30_v1/retry_40_extra_ortho_204930/primme_jdqmr_etol,/fs1/home/nudt_liujie/ftt/IPT_C_GPU/logs/sparse/CH4_K30_dubug/ipt_vs_primme_k30_v1/retry_40_extra_ortho_204930/primme_jdqmr_etol
