davidson_step,active_pairs,accepted_corrections,rejected_corrections,correction_norm_before_ortho,correction_norm_after_ortho,residual_before_global,residual_after_global,pair_28_before,pair_28_after,pair_29_before,pair_29_after,accepted,reject_reason,basis_cols_before,basis_cols_after,orthogonality_error_before,orthogonality_error_after,best_so_far_updated,best_so_far_step,best_so_far_max_residual,pair28_best_residual,pair29_best_residual,relaxed_accept_enabled,accept_global_ok,accept_active_ok,accept_locked_safe,accept_reason,reject_retry_count,retry_alpha,retry_denom_clip,accepted_steps,rejected_steps,min_accepted_steps,early_jump_to_continuation
31,29,1,1,3.892364628354251e-08,3.1276816084101448e-08,8.4607698117740033e-10,6.0222757402940845e-10,8.1598261833072941e-14,8.3898650208972678e-14,8.4607698117740033e-10,6.0222757402940845e-10,1,none,36,37,1.7319479184152442e-14,1.6431300764452317e-14,1,31,6.0222757402940845e-10,8.1598261833072941e-14,6.0222757402940845e-10,1,1,1,1,global_ok+active_ok,0,1,1e-08,31,0,12,0
32,29,1,1,3.6908235993903511e-08,2.7547409563421759e-08,6.0222757402940845e-10,4.1743339454143511e-10,8.3898650208972678e-14,8.4841657246337904e-14,6.0222757402940845e-10,4.1743339454143511e-10,1,none,37,38,1.6431300764452317e-14,1.9095836023552692e-14,1,32,4.1743339454143511e-10,8.1598261833072941e-14,4.1743339454143511e-10,1,1,1,1,global_ok+active_ok,0,1,1e-08,32,0,12,0
33,29,1,1,3.1280161032369974e-08,2.3215542116553223e-08,4.1743339454143511e-10,2.7697454494506384e-10,8.4841657246337904e-14,8.2269665341365524e-14,4.1743339454143511e-10,2.7697454494506384e-10,1,none,38,39,1.9095836023552692e-14,1.787459069646502e-14,1,33,2.7697454494506384e-10,8.1598261833072941e-14,2.7697454494506384e-10,1,1,1,1,global_ok+active_ok,0,1,1e-08,33,0,12,0
34,29,1,1,2.0783540656035999e-08,1.4159220299279409e-08,2.7697454494506384e-10,1.5427166954106414e-10,8.2269665341365524e-14,7.9074686723727008e-14,2.7697454494506384e-10,1.5427166954106414e-10,1,none,39,40,1.787459069646502e-14,1.4210854715202004e-14,1,34,1.5427166954106414e-10,7.9074686723727008e-14,1.5427166954106414e-10,1,1,1,1,global_ok+active_ok,0,1,1e-08,34,0,12,0
35,29,1,1,8.4709594409822702e-09,6.0049272275637109e-09,1.5427166954106414e-10,8.3683555917450283e-11,7.9074686723727008e-14,7.5896060162267098e-14,1.5427166954106414e-10,8.3683555917450283e-11,1,none,40,41,1.4210854715202004e-14,1.3322676295501878e-14,1,35,8.3683555917450283e-11,7.5896060162267098e-14,8.3683555917450283e-11,1,1,1,1,global_ok+active_ok,0,1,1e-08,35,0,12,0
36,29,1,1,4.7325926196928428e-09,3.4401272056568869e-09,8.3683555917450283e-11,4.7254442600547494e-11,7.5896060162267098e-14,7.3861643299819917e-14,8.3683555917450283e-11,4.7254442600547494e-11,1,none,41,42,1.3322676295501878e-14,1.3322676295501878e-14,1,36,4.7254442600547494e-11,7.3861643299819917e-14,4.7254442600547494e-11,1,1,1,1,global_ok+active_ok,0,1,1e-08,36,0,12,0
37,29,1,1,2.15059224617946e-09,1.6393345833959198e-09,4.7254442600547494e-11,2.5686615560719928e-11,7.3861643299819917e-14,7.2639982315462545e-14,4.7254442600547494e-11,2.5686615560719928e-11,1,none,42,43,1.3322676295501878e-14,1.3100631690576847e-14,1,37,2.5686615560719928e-11,7.2639982315462545e-14,2.5686615560719928e-11,1,1,1,1,global_ok+active_ok,0,1,1e-08,37,0,12,0
38,29,1,1,1.0266583106502466e-09,9.2923702914850296e-10,2.5686615560719928e-11,1.9207151303017475e-11,7.2639982315462545e-14,7.2612039167449912e-14,2.5686615560719928e-11,1.9207151303017475e-11,1,none,43,44,1.3100631690576847e-14,1.2656542480726785e-14,1,38,1.9207151303017475e-11,7.2612039167449912e-14,1.9207151303017475e-11,1,1,1,1,global_ok+active_ok,0,1,1e-08,38,0,12,0
39,29,0,2,8.35252730207763e-10,7.2992307506327688e-10,1.9207151303017475e-11,2.0949595863086515e-11,7.2612039167449912e-14,7.2593695585982396e-14,1.9207151303017475e-11,2.0949595863086515e-11,0,not_improved,44,44,1.2656542480726785e-14,1.2878587085651816e-14,0,38,1.9207151303017475e-11,7.2523155526531733e-14,1.9207151303017475e-11,1,0,0,1,not_improved,4,1,9.9999999999999995e-07,38,1,12,0
