davidson_step,active_pairs,accepted_corrections,rejected_corrections,correction_norm_before_ortho,correction_norm_after_ortho,residual_before_global,residual_after_global,pair_28_before,pair_28_after,pair_29_before,pair_29_after,accepted,reject_reason,basis_cols_before,basis_cols_after,orthogonality_error_before,orthogonality_error_after
31,28;29,2,0,7.4446870600410955e-12;1.755891108112925e-07,6.4601868386195481e-12;1.3924225804357736e-07,2.8219710201693544e-09,2.099319152907512e-09,1.5772191822024992e-13,7.680973835951846e-14,2.8219710201693544e-09,2.099319152907512e-09,1,none,35,37,1.354472090042691e-14,1.4432899320127035e-14
32,29,1,1,1.5249173176767434e-07,1.0264655004161661e-07,2.099319152907512e-09,1.7730965638389655e-09,7.680973835951846e-14,7.5107467047829233e-14,2.099319152907512e-09,1.7730965638389655e-09,1,none,37,38,1.4432899320127035e-14,1.5765166949677223e-14
33,29,1,1,1.0320422187458123e-07,8.0736441962188983e-08,1.7730965638389655e-09,1.287607575435099e-09,7.5107467047829233e-14,7.4234072643764206e-14,1.7730965638389655e-09,1.287607575435099e-09,1,none,38,39,1.5765166949677223e-14,1.4210854715202004e-14
34,29,1,1,8.1487721378955528e-08,6.1495138724560592e-08,1.287607575435099e-09,9.0816678663185243e-10,7.4234072643764206e-14,7.4196768103788628e-14,1.287607575435099e-09,9.0816678663185243e-10,1,none,39,40,1.4210854715202004e-14,1.6431300764452317e-14
35,29,1,1,6.4380505849290717e-08,4.4366066123011143e-08,9.0816678663185243e-10,7.2849056062363829e-10,7.4196768103788628e-14,7.4343219516111916e-14,9.0816678663185243e-10,7.2849056062363829e-10,1,none,40,41,1.6431300764452317e-14,1.4876988529977098e-14
36,29,1,1,4.9264256798224724e-08,3.5120959846974526e-08,7.2849056062363829e-10,6.1851378393235485e-10,7.4343219516111916e-14,7.2694129180889629e-14,7.2849056062363829e-10,6.1851378393235485e-10,1,none,41,42,1.4876988529977098e-14,1.5543122344752192e-14
37,29,1,1,4.0515246766611214e-08,2.9467177507960079e-08,6.1851378393235485e-10,4.5133834336796995e-10,7.2694129180889629e-14,7.3099032429743006e-14,6.1851378393235485e-10,4.5133834336796995e-10,1,none,42,43,1.5543122344752192e-14,1.532107773982716e-14
38,29,1,1,2.6414353721935522e-08,1.8826762889863354e-08,4.5133834336796995e-10,3.4067710496694905e-10,7.3099032429743006e-14,7.3059560293999785e-14,4.5133834336796995e-10,3.4067710496694905e-10,1,none,43,44,1.532107773982716e-14,1.6431300764452317e-14
39,29,1,1,2.1866833615999873e-08,1.4905419244643545e-08,3.4067710496694905e-10,2.9633453958079785e-10,7.3059560293999785e-14,7.5253794415468003e-14,3.4067710496694905e-10,2.9633453958079785e-10,1,none,44,45,1.6431300764452317e-14,1.5543122344752192e-14
40,29,1,1,1.6532355816410691e-08,1.0736181057856394e-08,2.9633453958079785e-10,1.9594848847736408e-10,7.5253794415468003e-14,7.5693243939543859e-14,2.9633453958079785e-10,1.9594848847736408e-10,1,none,45,46,1.5543122344752192e-14,1.7097434579227411e-14
