N,epsilon,method,tf32_tol,fp64_tol,tf32_maxiter,fp64_maxiter,repeats,time_tf32_initial_sec,time_orthogonalize_sec,time_rayleigh_transform_sec,time_fp64_refine_sec,time_finalization_sec,time_backtransform_sec,time_total_sec,absolute_residual,fp64_max_residual,tf32_fixed_point_residual,fp64_fixed_point_residual,tf32_iterations,fp64_iterations,tf32_f_calls,fp64_f_calls,tf32_converged,fp64_converged,gpu_name,status,error
4096,0.12,acx_mixed_rayleigh_tf32_fp64,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,0.02486508321017027,0.24972799196839332,0.015965621452778578,0.062432071939110753,0.0071805565617978576,0.0077383007854223253,0.36072906935587523,1.78103249517976e-09,1.6963813000299482e-12,6.8968636887690508e-07,1.7149389094538237e-14,6,2,13,3,1,1,NVIDIA A100-SXM4-80GB,ok,
8192,0.12,acx_mixed_rayleigh_tf32_fp64,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,0.12846387904137374,0.61384183159098027,0.12449993742629886,0.44304403001442549,0.058273565024137497,0.06047253059223294,1.3703222086653113,1.1779989239656959e-08,4.1161651289517672e-12,6.629437423453042e-07,2.4790073410007048e-14,6,2,13,3,1,1,NVIDIA A100-SXM4-80GB,ok,
16384,0.12,acx_mixed_rayleigh_tf32_fp64,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,0.97898984476923945,1.8880103098228573,1.0508947330527008,3.0207495083101095,0.4883300746791065,0.49502916391938923,7.433673559874296,4.5490730164123539e-08,1.7987111362828539e-11,6.8062583686081207e-07,5.4555140541094728e-14,6,2,13,3,1,1,NVIDIA A100-SXM4-80GB,ok,
