N,epsilon,method,tf32_tol,fp64_tol,tf32_maxiter,fp64_maxiter,repeats,time_tf32_initial_sec,time_orthogonalize_sec,time_rayleigh_transform_sec,time_fp64_refine_sec,time_finalization_sec,time_backtransform_sec,time_total_sec,absolute_residual,fp64_max_residual,tf32_fixed_point_residual,fp64_fixed_point_residual,tf32_iterations,fp64_iterations,tf32_f_calls,fp64_f_calls,tf32_converged,fp64_converged,gpu_name,status,error
4096,0.10000000000000001,acx_mixed_rayleigh_tf32_fp64,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,0.018295623920857908,0.24973404342308642,0.015964456275105475,0.062470759358257057,0.0071790431626141075,0.0077398246154189113,0.35420470759272576,1.9858773725497109e-09,1.3526544642730169e-12,6.1826175312650536e-07,1.1203859985028762e-14,4,2,8,3,1,1,NVIDIA A100-SXM4-80GB,ok,
8192,0.10000000000000001,acx_mixed_rayleigh_tf32_fp64,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,0.082138531748205429,0.61378541449084878,0.12440529139712453,0.44314048141241075,0.057899058237671851,0.060371655691415074,1.3238413747400046,1.1102749104077474e-08,3.3199968057139688e-12,7.143077773877804e-07,1.5671431962400843e-14,4,2,8,3,1,1,NVIDIA A100-SXM4-80GB,ok,
16384,0.10000000000000001,acx_mixed_rayleigh_tf32_fp64,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,0.60981129817664625,1.8886421229690313,1.0533084434457123,3.0181351506151257,0.48827288607135416,0.49399726139381528,7.0638942766003314,3.7418807726485058e-08,7.8901743646288896e-12,6.848490433827921e-07,3.0109487802924473e-14,4,2,8,3,1,1,NVIDIA A100-SXM4-80GB,ok,
