N,epsilon,initial_precision,initial_tol,fp64_tol,initial_maxiter,fp64_maxiter,repeats,time_cusolver_syevd_sec,residual_cusolver_syevd,time_original_ipt_sec,residual_original_ipt,original_ipt_fixed_point_residual,original_ipt_iterations,time_initial_sec,time_fp64_refine_sec,time_mixed_total_sec,residual_mixed,initial_fixed_point_residual,fp64_fixed_point_residual,initial_iterations,fp64_iterations,initial_converged,fp64_converged,gpu_name,status,error
4096,0.09,tf32,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,0.2149583451449871,4.0996182962418872e-10,0.2090625966899097,7.794563634300491e-10,5.8713728576359695e-13,24,0.017794777266681196,0.13491959497332573,0.15271464046090841,9.2643388445405471e-10,9.5095980000201621e-07,7.0256431605414443e-13,9,15,true,true,NVIDIA A100-SXM4-80GB,ok,
8192,0.09,tf32,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,1.4523517053574324,1.5287163684689406e-09,1.6380208133719862,1.9914023362655401e-09,6.6207963950507221e-13,25,0.09627048131078482,1.0124111137352885,1.1086819098331033,1.5749917719798338e-09,5.8926829368286333e-07,4.9301087971273213e-13,10,15,true,true,NVIDIA A100-SXM4-80GB,ok,
16384,0.09,tf32,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,8.9028332291170962,5.7503353021426645e-09,14.011353818327189,5.3849091473417028e-09,8.9335136829687538e-13,27,0.73958159135654566,9.0282615787349645,9.7678436116315428,4.9514608729442412e-09,7.9619370567693288e-07,8.0980192913401469e-13,10,17,true,true,NVIDIA A100-SXM4-80GB,ok,
26000,0.09,tf32,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,33.288343179598449,1.5262785859020267e-08,59.473159274458887,6.4416617185660982e-09,6.6071342503638128e-13,29,3.1732499174773694,39.711172505747527,42.88442291961983,5.8706303741759248e-09,9.4611476513507086e-07,6.0019839640517362e-13,10,19,true,true,NVIDIA A100-SXM4-80GB,ok,
