N,epsilon,initial_precision,initial_tol,fp64_tol,initial_maxiter,fp64_maxiter,repeats,time_cusolver_syevd_sec,residual_cusolver_syevd,time_original_ipt_sec,residual_original_ipt,original_ipt_fixed_point_residual,original_ipt_iterations,time_initial_sec,time_fp64_refine_sec,time_mixed_total_sec,residual_mixed,initial_fixed_point_residual,fp64_fixed_point_residual,initial_iterations,fp64_iterations,initial_converged,fp64_converged,gpu_name,status,error
16384,0.06,fp16,0.001,9.9999999999999998e-13,1000,1000,5,8.9870670449919992,5.7610725020398053e-09,12.834429053217173,2.8731397953740534e-09,7.3032252641685346e-13,18,0.12205712143331766,7.9782139657996591,8.1002717728726559,2.8889371426522887e-09,0.00031939738082427464,7.3444444492769576e-13,3,15,true,true,NVIDIA A100-SXM4-80GB,ok,
16384,0.06,tf32,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,8.9870670449919992,5.7610725020398053e-09,12.834429053217173,2.8731397953740534e-09,7.3032252641685346e-13,18,0.52300669541582467,5.9959555336274208,6.5189627340994774,3.5186440414179435e-09,5.7504121497727856e-07,9.038271102503403e-13,7,11,true,true,NVIDIA A100-SXM4-80GB,ok,
26000,0.06,fp16,0.001,9.9999999999999998e-13,1000,1000,5,33.285976479668172,1.5173825793090459e-08,39.372382667008786,2.8008539478741995e-09,4.3051343881675503e-13,19,0.448646954074502,33.524950060155241,33.973597533814612,2.822083247239432e-09,0.00032058048033730167,4.3401705344190647e-13,3,16,true,true,NVIDIA A100-SXM4-80GB,ok,
26000,0.06,tf32,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,33.285976479668172,1.5173825793090459e-08,39.372382667008786,2.8008539478741995e-09,4.3051343881675503e-13,19,2.2182049557566641,25.711816890910267,27.930022390186785,3.0775882859410987e-09,5.9564223195977986e-07,4.7287692019851072e-13,7,12,true,true,NVIDIA A100-SXM4-80GB,ok,
32768,0.06,fp16,0.001,9.9999999999999998e-13,1000,1000,5,8.4711238741874695e-05,nan,81.116140505298972,4.625737609708696e-09,5.4388375323391465e-13,19,0.85096037257462742,69.025916764792058,69.876877728756511,4.6761156872194305e-09,0.00032209468612807784,5.498133389721266e-13,3,16,true,true,NVIDIA A100-SXM4-80GB,partial_failed,CUSOLVER_STATUS_INVALID_VALUE
32768,0.06,tf32,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,8.4711238741874695e-05,nan,81.116140505298972,4.625737609708696e-09,5.4388375323391465e-13,19,4.1995965100824835,52.721932124067095,56.921529269684108,5.5261942749119744e-09,6.4263759580872504e-07,6.5383294650128474e-13,7,12,true,true,NVIDIA A100-SXM4-80GB,partial_failed,CUSOLVER_STATUS_INVALID_VALUE
4090,0.06,tf32,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,0.21859791968017817,4.0597197519769359e-10,0.15487463399767876,4.3520502392055567e-10,4.9823375144967697e-13,17,0.02182959681376815,0.095167277008295054,0.11699726283550263,5.7358513349434519e-10,4.320449150371842e-07,6.9105616051604556e-13,7,10,true,true,NVIDIA A100-SXM4-80GB,ok,
8192,0.06,tf32,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,1.4493100457824766,1.5292982804486161e-09,1.2095419995486736,5.6830077238555364e-10,2.9924221618218926e-13,18,0.07034986643120647,0.76651932038366799,0.8368694712407887,8.4448523338081424e-10,4.8173485654742532e-07,4.5624724011908477e-13,7,11,true,true,NVIDIA A100-SXM4-80GB,ok,
