N,epsilon,initial_precision,initial_tol,fp64_tol,initial_maxiter,fp64_maxiter,repeats,time_cusolver_syevd_sec,residual_cusolver_syevd,time_original_ipt_sec,residual_original_ipt,original_ipt_fixed_point_residual,original_ipt_iterations,time_initial_sec,time_fp64_refine_sec,time_mixed_total_sec,residual_mixed,initial_fixed_point_residual,fp64_fixed_point_residual,initial_iterations,fp64_iterations,initial_converged,fp64_converged,gpu_name,status,error
16384,0.05,fp16,0.001,9.9999999999999998e-13,1000,1000,5,8.9015377425588671,5.7526432916162928e-09,8.4752046241424974,1.6109551959106853e-09,4.8887310475930017e-13,16,0.11862350031733512,6.9932697819545862,7.1118936887942255,1.623927948114219e-09,0.00018525581005232033,4.9300663559749511e-13,3,13,true,true,NVIDIA A100-SXM4-80GB,ok,
16384,0.05,tf32,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,8.9015377425588671,5.7526432916162928e-09,8.4752046241424974,1.6109551959106853e-09,4.8887310475930017e-13,16,0.44739462602883578,5.5030288958922027,5.9504239623434838,1.4660339631983218e-09,7.3678506730917255e-07,4.4003621234754264e-13,6,10,true,true,NVIDIA A100-SXM4-80GB,ok,
26000,0.05,fp16,0.001,9.9999999999999998e-13,1000,1000,5,33.287764227855952,1.507842748984211e-08,33.502767854556438,3.4648916888332645e-09,6.1240710935865759e-13,16,0.44974880525842309,27.582279867958277,28.032029273267835,3.4946986010092835e-09,0.00018577794553708378,6.1809262476711437e-13,3,13,true,true,NVIDIA A100-SXM4-80GB,ok,
26000,0.05,tf32,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,33.287764227855952,1.507842748984211e-08,33.502767854556438,3.4648916888332645e-09,6.1240710935865759e-13,16,1.9071351585909724,21.730202667880803,23.637338783964516,3.3254849854726582e-09,7.4487410724118601e-07,5.88445217734766e-13,6,10,true,true,NVIDIA A100-SXM4-80GB,ok,
32768,0.05,fp16,0.001,9.9999999999999998e-13,1000,1000,5,8.4836035966873169e-05,nan,68.571843982394782,5.8803295447772498e-09,8.2469393391105158e-13,16,0.84956137835979462,56.620406598784029,57.469968700315803,5.956821485957639e-09,0.00018601049236681509,8.3681092143036646e-13,3,13,true,true,NVIDIA A100-SXM4-80GB,partial_failed,CUSOLVER_STATUS_INVALID_VALUE
32768,0.05,tf32,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,8.4836035966873169e-05,nan,68.571843982394782,5.8803295447772498e-09,8.2469393391105158e-13,16,3.5314521537162364,44.474070597626266,48.00552347358316,5.2847635545886221e-09,7.6851012170940069e-07,7.3247384346284504e-13,6,10,true,true,NVIDIA A100-SXM4-80GB,partial_failed,CUSOLVER_STATUS_INVALID_VALUE
4090,0.05,tf32,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,0.21856248788535595,4.0379570013967044e-10,0.13772281343117357,2.625813993324512e-10,3.5700642613896471e-13,15,0.019722307194024326,0.086585240252315995,0.10630787946283818,1.8534699043337897e-10,5.6044111129300216e-07,2.6054074572256585e-13,6,9,true,true,NVIDIA A100-SXM4-80GB,ok,
8192,0.05,tf32,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,1.4492616281844675,1.5291033922517238e-09,1.015313440002501,1.3074312667490588e-09,8.3808498099513764e-13,15,0.06157815111801028,0.63799159536138172,0.69957007188349962,7.757102042034324e-10,6.3689053351564873e-07,5.0014367747604412e-13,6,9,true,true,NVIDIA A100-SXM4-80GB,ok,
