N,epsilon,method,tol,maxiter,repeats,time_total_sec,time_iteration_sec,time_finalization_sec,absolute_residual,max_apply_residual,fixed_point_residual,iterations,f_calls,converged,gpu_name,status,error
4096,0.12,acx_gpu_fp64,9.9999999999999998e-13,1000,5,0.33254990810528395,0.32065884154289959,0.0071916080079972742,6.4533751428392583e-12,7.0780482642846483e-11,2.3534556540674292e-14,8,18,1,NVIDIA A100-SXM4-80GB,ok,
4096,0.12,original_ipt_gpu_fp64,9.9999999999999998e-13,1000,5,0.29493642803281545,0.29493642803281545,0,1.6151765228374911e-09,nan,9.0227510002579282e-13,34,34,1,NVIDIA A100-SXM4-80GB,ok,
8192,0.12,acx_gpu_fp64,9.9999999999999998e-13,1000,5,2.3282395501621069,2.2643088394775988,0.058040062244981525,1.054568072246935e-10,6.1945067335487505e-10,2.5449718276872023e-13,8,18,1,NVIDIA A100-SXM4-80GB,ok,
8192,0.12,original_ipt_gpu_fp64,9.9999999999999998e-13,1000,5,2.6033063481561838,2.6033063481561838,0,2.6173167676552586e-09,nan,7.3744141550040627e-13,40,40,1,NVIDIA A100-SXM4-80GB,ok,
16384,0.12,acx_gpu_fp64,9.9999999999999998e-13,1000,5,18.133620564267041,17.636609891988336,0.4840709952637553,6.2613420973980861e-10,1.0554191832507515e-09,9.3006763737642951e-14,9,21,1,NVIDIA A100-SXM4-80GB,ok,
16384,0.12,original_ipt_gpu_fp64,9.9999999999999998e-13,1000,5,21.684247499424963,21.684247499424963,0,7.1161471384712806e-09,nan,8.5199219333024627e-13,42,42,1,NVIDIA A100-SXM4-80GB,ok,
