N,epsilon,method,tol,maxiter,repeats,time_total_sec,time_iteration_sec,time_finalization_sec,absolute_residual,max_apply_residual,fixed_point_residual,iterations,f_calls,converged,gpu_name,status,error
4096,0.080000000000000002,acx_gpu_fp64,9.9999999999999998e-13,1000,5,0.24368718257173896,0.23179634371772409,0.0071989271789789202,1.3864172813015346e-11,9.6306408836703383e-11,1.128202793227982e-13,6,13,1,NVIDIA A100-SXM4-80GB,ok,
4096,0.080000000000000002,original_ipt_gpu_fp64,9.9999999999999998e-13,1000,5,0.18667565518990159,0.18667565518990159,0,9.7120446696231649e-10,nan,8.3889752146595724e-13,21,21,1,NVIDIA A100-SXM4-80GB,ok,
8192,0.080000000000000002,acx_gpu_fp64,9.9999999999999998e-13,1000,5,1.7008562267757952,1.6366195918992161,0.058142598345875741,7.4278787054328905e-11,8.1013618843199771e-10,4.1138118653351396e-13,6,13,1,NVIDIA A100-SXM4-80GB,ok,
8192,0.080000000000000002,original_ipt_gpu_fp64,9.9999999999999998e-13,1000,5,1.526507290545851,1.526507290545851,0,1.1456549871782791e-09,nan,4.6106593770417402e-13,23,23,1,NVIDIA A100-SXM4-80GB,ok,
16384,0.080000000000000002,acx_gpu_fp64,9.9999999999999998e-13,1000,5,11.406839790102094,10.909826948679983,0.4845645003952086,2.0004410959044328e-10,1.3918510058083214e-09,4.865033985445597e-13,6,13,1,NVIDIA A100-SXM4-80GB,ok,
16384,0.080000000000000002,original_ipt_gpu_fp64,9.9999999999999998e-13,1000,5,12.588015223108233,12.588015223108233,0,2.8328864239773982e-09,nan,5.1729920109553809e-13,24,24,1,NVIDIA A100-SXM4-80GB,ok,
