davidson_step,active_pairs,accepted_corrections,rejected_corrections,correction_norm_before_ortho,correction_norm_after_ortho,residual_before_global,residual_after_global,pair_28_before,pair_28_after,pair_29_before,pair_29_after,accepted,reject_reason,basis_cols_before,basis_cols_after,orthogonality_error_before,orthogonality_error_after,best_so_far_updated,best_so_far_step,best_so_far_max_residual,pair28_best_residual,pair29_best_residual
41,29,1,1,3.4105659638298151e-09,2.2141758320641355e-09,5.4760669224020193e-11,4.2256955795556223e-11,3.944170812777694e-14,3.9438686898906847e-14,5.4760669224020193e-11,4.2256955795556223e-11,1,none,48,49,1.4876988529977098e-14,1.5099033134902129e-14,1,41,4.2256955795556223e-11,3.9438686898906847e-14,4.2256955795556223e-11
42,29,1,1,2.050817223703574e-09,1.4885539571300463e-09,4.2256955795556223e-11,3.3243524613713445e-11,3.9438686898906847e-14,3.941196523730424e-14,4.2256955795556223e-11,3.3243524613713445e-11,1,none,49,50,1.5099033134902129e-14,1.6209256159527285e-14,1,42,3.3243524613713445e-11,3.941196523730424e-14,3.3243524613713445e-11
43,29,1,1,1.3449941352825184e-09,1.0236949084844957e-09,3.3243524613713445e-11,2.1085167518513133e-11,3.941196523730424e-14,3.9528011824954095e-14,3.3243524613713445e-11,2.1085167518513133e-11,1,none,50,51,1.6209256159527285e-14,1.5099033134902129e-14,1,43,2.1085167518513133e-11,3.941196523730424e-14,2.1085167518513133e-11
44,29,1,1,1.0065314105716185e-09,7.7464680496879548e-10,2.1085167518513133e-11,1.4689741625398186e-11,3.9528011824954095e-14,3.9248598375543592e-14,2.1085167518513133e-11,1.4689741625398186e-11,1,none,51,52,1.5099033134902129e-14,1.5543122344752192e-14,1,44,1.4689741625398186e-11,3.9248598375543592e-14,1.4689741625398186e-11
45,29,1,1,7.5604507427986521e-10,4.9981726708200125e-10,1.4689741625398186e-11,7.9159808598332275e-12,3.9248598375543592e-14,3.9222746521321613e-14,1.4689741625398186e-11,7.9159808598332275e-12,1,none,52,53,1.5543122344752192e-14,1.4432899320127035e-14,1,45,7.9159808598332275e-12,3.9222746521321613e-14,7.9159808598332275e-12
46,29,1,1,4.466550619275215e-10,2.7811120892177705e-10,7.9159808598332275e-12,3.6996761618964563e-12,3.9222746521321613e-14,3.8938504607013914e-14,7.9159808598332275e-12,3.6996761618964563e-12,1,none,53,54,1.4432899320127035e-14,1.3100631690576847e-14,1,46,3.6996761618964563e-12,3.8938504607013914e-14,3.6996761618964563e-12
47,29,1,1,1.9934733405767485e-10,1.2655322571900737e-10,3.6996761618964563e-12,1.8394186264819828e-12,3.8938504607013914e-14,3.8977809556085847e-14,3.6996761618964563e-12,1.8394186264819828e-12,1,none,54,35,1.3100631690576847e-14,1.4210854715202004e-14,1,47,1.8394186264819828e-12,3.8938504607013914e-14,1.8394186264819828e-12
48,29,1,1,7.9979713380632626e-11,5.7745740758449643e-11,1.8394186264819828e-12,8.8043366484987473e-13,3.8977809556085847e-14,3.8760272770889801e-14,1.8394186264819828e-12,8.8043366484987473e-13,1,none,35,36,1.4210854715202004e-14,1.5765166949677223e-14,1,48,8.8043366484987473e-13,3.8760272770889801e-14,8.8043366484987473e-13
49,29,1,1,3.9249945026735855e-11,3.246704542607743e-11,8.8043366484987473e-13,5.7043963106071572e-13,3.8760272770889801e-14,3.8635080188498259e-14,8.8043366484987473e-13,5.7043963106071572e-13,1,none,36,37,1.5765166949677223e-14,1.5987211554602254e-14,1,49,5.7043963106071572e-13,3.8635080188498259e-14,5.7043963106071572e-13
50,29,1,1,2.7346914833268824e-11,2.3550883615283824e-11,5.7043963106071572e-13,4.1276771957757947e-13,3.8635080188498259e-14,3.8632957724983821e-14,5.7043963106071572e-13,4.1276771957757947e-13,1,none,37,38,1.5987211554602254e-14,1.532107773982716e-14,1,50,4.1276771957757947e-13,3.8632957724983821e-14,4.1276771957757947e-13
51,29,1,1,2.4276807902618044e-11,1.9136850033494455e-11,4.1276771957757947e-13,2.5906181853469646e-13,3.8632957724983821e-14,3.8366826337522698e-14,4.1276771957757947e-13,2.5906181853469646e-13,1,none,38,39,1.532107773982716e-14,1.532107773982716e-14,1,51,2.5906181853469646e-13,3.8366826337522698e-14,2.5906181853469646e-13
52,29,1,1,2.3360683734990306e-11,1.4908217938503179e-11,2.5906181853469646e-13,1.8185766425946358e-13,3.8366826337522698e-14,3.9953116986704194e-14,2.5906181853469646e-13,1.8185766425946358e-13,1,none,39,40,1.532107773982716e-14,1.6875389974302379e-14,1,52,1.8185766425946358e-13,3.8366826337522698e-14,1.8185766425946358e-13
53,29,1,1,9.9161162331978149e-12,6.5636074982133685e-12,1.8185766425946358e-13,1.1050020157494771e-13,3.9953116986704194e-14,3.9720376811472273e-14,1.8185766425946358e-13,1.1050020157494771e-13,1,none,40,41,1.6875389974302379e-14,1.6431300764452317e-14,1,53,1.1050020157494771e-13,3.8366826337522698e-14,1.1050020157494771e-13
54,29,1,1,4.8100384923179691e-12,3.4408506935554179e-12,1.1050020157494771e-13,6.1287423654327784e-14,3.9720376811472273e-14,3.8966428423614207e-14,1.1050020157494771e-13,5.5081989336521346e-14,1,none,41,42,1.6431300764452317e-14,1.8984813721090177e-14,1,54,6.1287423654327784e-14,3.8366826337522698e-14,5.5081989336521346e-14
55,none,0,2,,,6.1287423654327784e-14,6.1287423654327784e-14,3.8966428423614207e-14,3.8966428423614207e-14,5.5081989336521346e-14,5.5081989336521346e-14,0,no_valid_correction,42,42,1.8984813721090177e-14,1.8984813721090177e-14,0,54,6.1287423654327784e-14,3.8366826337522698e-14,5.5081989336521346e-14
