davidson_step,active_pair_index,residual_before,residual_after,accepted,basis_cols,max_relative_eigen_residual,max_relative_eigen_residual_index,pair_28_residual,pair_29_residual,orthogonality_error,restarted,best_so_far_updated,best_so_far_step,best_so_far_max_residual,pair28_best_residual,pair29_best_residual
12,29,3.1553835644794977e-06,1.8145613275243341e-06,1,39,1.8145613275243341e-06,29,1.0296257015463502e-13,1.8145613275243341e-06,1.6653345369377348e-14,0,1,12,1.8145613275243341e-06,1.0296257015463502e-13,1.8145613275243341e-06
12,28,1.6614269246892195e-13,1.0296257015463502e-13,1,39,1.8145613275243341e-06,29,1.0296257015463502e-13,1.8145613275243341e-06,1.6653345369377348e-14,0,1,12,1.8145613275243341e-06,1.0296257015463502e-13,1.8145613275243341e-06
13,29,1.8145613275243341e-06,8.6742215907641229e-07,1,41,8.6742215907641229e-07,29,6.2906180112574099e-14,8.6742215907641229e-07,1.4210854715202004e-14,0,1,13,8.6742215907641229e-07,6.2906180112574099e-14,8.6742215907641229e-07
13,26,1.2449469426182009e-13,6.9581027316981607e-14,1,41,8.6742215907641229e-07,29,6.2906180112574099e-14,8.6742215907641229e-07,1.4210854715202004e-14,0,1,13,8.6742215907641229e-07,6.2906180112574099e-14,8.6742215907641229e-07
14,29,8.6742215907641229e-07,6.039973216536265e-07,1,42,6.039973216536265e-07,29,5.0206992417193312e-14,6.039973216536265e-07,1.4210854715202004e-14,0,1,14,6.039973216536265e-07,5.0206992417193312e-14,6.039973216536265e-07
15,29,6.039973216536265e-07,5.2239152784187498e-07,1,43,5.2239152784187498e-07,29,5.0100842719016173e-14,5.2239152784187498e-07,1.532107773982716e-14,0,1,15,5.2239152784187498e-07,5.0100842719016173e-14,5.2239152784187498e-07
16,29,5.2239152784187498e-07,3.3555033471954481e-07,1,44,3.3555033471954481e-07,29,4.9417940514600352e-14,3.3555033471954481e-07,1.5543122344752192e-14,0,1,16,3.3555033471954481e-07,4.9417940514600352e-14,3.3555033471954481e-07
17,29,3.3555033471954481e-07,2.2009814434948694e-07,1,45,2.2009814434948694e-07,29,4.8921231966787536e-14,2.2009814434948694e-07,1.5432100042289676e-14,0,1,17,2.2009814434948694e-07,4.8921231966787536e-14,2.2009814434948694e-07
18,29,2.2009814434948694e-07,1.4548388057639101e-07,1,46,1.4548388057639101e-07,29,4.9861117849190781e-14,1.4548388057639101e-07,1.5765166949677223e-14,0,1,18,1.4548388057639101e-07,4.8921231966787536e-14,1.4548388057639101e-07
19,29,1.4548388057639101e-07,1.2970790936024788e-07,1,47,1.2970790936024788e-07,29,5.1957366990021617e-14,1.2970790936024788e-07,1.9206858326015208e-14,0,1,19,1.2970790936024788e-07,4.8921231966787536e-14,1.2970790936024788e-07
20,29,1.2970790936024788e-07,1.1782340158779639e-07,1,48,1.1782340158779639e-07,29,5.1499401070861206e-14,1.1782340158779639e-07,1.5099033134902129e-14,0,1,20,1.1782340158779639e-07,4.8921231966787536e-14,1.1782340158779639e-07
21,29,1.1782340158779639e-07,1.0149595239562084e-07,1,49,1.0149595239562084e-07,29,4.6077617777470767e-14,1.0149595239562084e-07,1.4432899320127035e-14,0,1,21,1.0149595239562084e-07,4.6077617777470767e-14,1.0149595239562084e-07
22,29,1.0149595239562084e-07,7.1018108949242179e-08,1,50,7.1018108949242179e-08,29,4.3963801046568668e-14,7.1018108949242179e-08,1.5099033134902129e-14,0,1,22,7.1018108949242179e-08,4.3963801046568668e-14,7.1018108949242179e-08
23,29,7.1018108949242179e-08,5.2319854976433702e-08,1,51,5.2319854976433702e-08,29,4.4953319589940972e-14,5.2319854976433702e-08,1.354472090042691e-14,0,1,23,5.2319854976433702e-08,4.3963801046568668e-14,5.2319854976433702e-08
24,29,5.2319854976433702e-08,3.4413119612975516e-08,1,52,3.4413119612975516e-08,29,4.3227902833970434e-14,3.4413119612975516e-08,1.4432899320127035e-14,0,1,24,3.4413119612975516e-08,4.3227902833970434e-14,3.4413119612975516e-08
25,29,3.4413119612975516e-08,2.2073696386169949e-08,1,53,2.2073696386169949e-08,29,4.2711056757475318e-14,2.2073696386169949e-08,1.4876988529977098e-14,0,1,25,2.2073696386169949e-08,4.2711056757475318e-14,2.2073696386169949e-08
26,29,2.2073696386169949e-08,1.5571618886569778e-08,1,54,1.5571618886569778e-08,29,4.1757818768715757e-14,1.5571618886569778e-08,1.5987211554602254e-14,0,1,26,1.5571618886569778e-08,4.1757818768715757e-14,1.5571618886569778e-08
27,29,1.5571618886569778e-08,9.1046614633616469e-09,1,35,9.1046614633616469e-09,29,4.2102246549667965e-14,9.1046614633616469e-09,1.3988810110276972e-14,1,1,27,9.1046614633616469e-09,4.1757818768715757e-14,9.1046614633616469e-09
28,29,9.1046614633616469e-09,5.0565598572157526e-09,1,36,5.0565598572157526e-09,29,4.0411816147134142e-14,5.0565598572157526e-09,1.4210854715202004e-14,0,1,28,5.0565598572157526e-09,4.0411816147134142e-14,5.0565598572157526e-09
29,29,5.0565598572157526e-09,2.6913056025478637e-09,1,37,2.6913056025478637e-09,29,4.0474344518656744e-14,2.6913056025478637e-09,1.5099033134902129e-14,0,1,29,2.6913056025478637e-09,4.0411816147134142e-14,2.6913056025478637e-09
30,29,2.6913056025478637e-09,1.3737604470015674e-09,1,38,1.3737604470015674e-09,29,4.0207826451196801e-14,1.3737604470015674e-09,1.7541523789077473e-14,0,1,30,1.3737604470015674e-09,4.0207826451196801e-14,1.3737604470015674e-09
31,29,1.3737604470015674e-09,7.864129298139432e-10,1,39,7.864129298139432e-10,29,4.0188464918424691e-14,7.864129298139432e-10,1.4876988529977098e-14,0,1,31,7.864129298139432e-10,4.0188464918424691e-14,7.864129298139432e-10
32,29,7.864129298139432e-10,5.7807828295849255e-10,1,40,5.7807828295849255e-10,29,4.0188328629434074e-14,5.7807828295849255e-10,1.5765166949677223e-14,0,1,32,5.7807828295849255e-10,4.0188328629434074e-14,5.7807828295849255e-10
33,29,5.7807828295849255e-10,3.9846331673389766e-10,1,41,3.9846331673389766e-10,29,4.0137870761169633e-14,3.9846331673389766e-10,1.4876988529977098e-14,0,1,33,3.9846331673389766e-10,4.0137870761169633e-14,3.9846331673389766e-10
34,29,3.9846331673389766e-10,2.6834375473373268e-10,1,42,2.6834375473373268e-10,29,4.0093162039515313e-14,2.6834375473373268e-10,1.532107773982716e-14,0,1,34,2.6834375473373268e-10,4.0093162039515313e-14,2.6834375473373268e-10
35,29,2.6834375473373268e-10,1.7614511299251541e-10,1,43,1.7614511299251541e-10,29,4.0178996494392745e-14,1.7614511299251541e-10,1.354472090042691e-14,0,1,35,1.7614511299251541e-10,4.0093162039515313e-14,1.7614511299251541e-10
36,29,1.7614511299251541e-10,1.1234288993574721e-10,1,44,1.1234288993574721e-10,29,3.9919286261750931e-14,1.1234288993574721e-10,1.5099033134902129e-14,0,1,36,1.1234288993574721e-10,3.9919286261750931e-14,1.1234288993574721e-10
37,29,1.1234288993574721e-10,1.0010441894089326e-10,1,45,1.0010441894089326e-10,29,3.9928066864731466e-14,1.0010441894089326e-10,1.4210854715202004e-14,0,1,37,1.0010441894089326e-10,3.9919286261750931e-14,1.0010441894089326e-10
38,29,1.0010441894089326e-10,8.7547872374233037e-11,1,46,8.7547872374233037e-11,29,3.9820462699263434e-14,8.7547872374233037e-11,1.5543122344752192e-14,0,1,38,8.7547872374233037e-11,3.9820462699263434e-14,8.7547872374233037e-11
39,29,8.7547872374233037e-11,6.515010343882909e-11,1,47,6.515010343882909e-11,29,3.9813321764629381e-14,6.515010343882909e-11,1.9317880628477724e-14,0,1,39,6.515010343882909e-11,3.9813321764629381e-14,6.515010343882909e-11
40,29,6.515010343882909e-11,5.4760669224020193e-11,1,48,5.4760669224020193e-11,29,3.944170812777694e-14,5.4760669224020193e-11,1.4876988529977098e-14,0,1,40,5.4760669224020193e-11,3.944170812777694e-14,5.4760669224020193e-11
41,29,5.4760669224020193e-11,4.2256955795556223e-11,1,49,4.2256955795556223e-11,29,3.9438686898906847e-14,4.2256955795556223e-11,1.5099033134902129e-14,0,1,41,4.2256955795556223e-11,3.9438686898906847e-14,4.2256955795556223e-11
42,29,4.2256955795556223e-11,3.3243524613713445e-11,1,50,3.3243524613713445e-11,29,3.941196523730424e-14,3.3243524613713445e-11,1.6209256159527285e-14,0,1,42,3.3243524613713445e-11,3.941196523730424e-14,3.3243524613713445e-11
43,29,3.3243524613713445e-11,2.1085167518513133e-11,1,51,2.1085167518513133e-11,29,3.9528011824954095e-14,2.1085167518513133e-11,1.5099033134902129e-14,0,1,43,2.1085167518513133e-11,3.941196523730424e-14,2.1085167518513133e-11
44,29,2.1085167518513133e-11,1.4689741625398186e-11,1,52,1.4689741625398186e-11,29,3.9248598375543592e-14,1.4689741625398186e-11,1.5543122344752192e-14,0,1,44,1.4689741625398186e-11,3.9248598375543592e-14,1.4689741625398186e-11
45,29,1.4689741625398186e-11,7.9159808598332275e-12,1,53,7.9159808598332275e-12,29,3.9222746521321613e-14,7.9159808598332275e-12,1.4432899320127035e-14,0,1,45,7.9159808598332275e-12,3.9222746521321613e-14,7.9159808598332275e-12
46,29,7.9159808598332275e-12,3.6996761618964563e-12,1,54,3.6996761618964563e-12,29,3.8938504607013914e-14,3.6996761618964563e-12,1.3100631690576847e-14,0,1,46,3.6996761618964563e-12,3.8938504607013914e-14,3.6996761618964563e-12
47,29,3.6996761618964563e-12,1.8394186264819828e-12,1,35,1.8394186264819828e-12,29,3.8977809556085847e-14,1.8394186264819828e-12,1.4210854715202004e-14,1,1,47,1.8394186264819828e-12,3.8938504607013914e-14,1.8394186264819828e-12
48,29,1.8394186264819828e-12,8.8043366484987473e-13,1,36,8.8043366484987473e-13,29,3.8760272770889801e-14,8.8043366484987473e-13,1.5765166949677223e-14,0,1,48,8.8043366484987473e-13,3.8760272770889801e-14,8.8043366484987473e-13
49,29,8.8043366484987473e-13,5.7043963106071572e-13,1,37,5.7043963106071572e-13,29,3.8635080188498259e-14,5.7043963106071572e-13,1.5987211554602254e-14,0,1,49,5.7043963106071572e-13,3.8635080188498259e-14,5.7043963106071572e-13
50,29,5.7043963106071572e-13,4.1276771957757947e-13,1,38,4.1276771957757947e-13,29,3.8632957724983821e-14,4.1276771957757947e-13,1.532107773982716e-14,0,1,50,4.1276771957757947e-13,3.8632957724983821e-14,4.1276771957757947e-13
51,29,4.1276771957757947e-13,2.5906181853469646e-13,1,39,2.5906181853469646e-13,29,3.8366826337522698e-14,2.5906181853469646e-13,1.532107773982716e-14,0,1,51,2.5906181853469646e-13,3.8366826337522698e-14,2.5906181853469646e-13
52,29,2.5906181853469646e-13,1.8185766425946358e-13,1,40,1.8185766425946358e-13,29,3.9953116986704194e-14,1.8185766425946358e-13,1.6875389974302379e-14,0,1,52,1.8185766425946358e-13,3.8366826337522698e-14,1.8185766425946358e-13
53,29,1.8185766425946358e-13,1.1050020157494771e-13,1,41,1.1050020157494771e-13,29,3.9720376811472273e-14,1.1050020157494771e-13,1.6431300764452317e-14,0,1,53,1.1050020157494771e-13,3.8366826337522698e-14,1.1050020157494771e-13
54,29,1.1050020157494771e-13,5.5081989336521346e-14,1,42,6.1287423654327784e-14,25,3.8966428423614207e-14,5.5081989336521346e-14,1.8984813721090177e-14,0,1,54,6.1287423654327784e-14,3.8366826337522698e-14,5.5081989336521346e-14
