method,k,avg_solve_time_sec,avg_api_total_time_sec,avg_preparation_time_sec,avg_transfer_setup_time_sec,avg_iteration_time_sec,avg_rayleigh_ritz_time_sec,avg_iterations,avg_matvecs,last_first_eigenvalue,last_max_relative_residual,last_relative_fixed_point_residual,eigenvalue_abs_residual,status,error,tol,maxiter
PRIMME_CUBLAS,30,2.3416695538908243,2.34400454768911,0,0.0023349937982857227,0,0,1301,5708,-56.054516870360736,9.7500685425599703e-13,nan,0,0,,9.9999999999999998e-13,200000
IPT_CUDA_BLOCK_CLUSTER,30,28.479613861999997,38.0307810860686,0.27098001599999999,2.1432680479999999,0.040310290999999998,28.439303570999996,200,14176,-56.054516870360679,8.2500411777591069e-13,1.1932542878127859e-15,5.6843418860808015e-14,0,,9.9999999999999998e-13,200
