davidson_step,active_pair_index,residual_before,residual_after,accepted,basis_cols,max_relative_eigen_residual,max_relative_eigen_residual_index,pair_28_residual,pair_29_residual,orthogonality_error
1,29,0.00068312559943685142,2.8263432083333678e-05,1,34,2.8263432083333678e-05,29,1.297849115129467e-11,2.8263432083333678e-05,1.4210854715202004e-14
2,29,2.8263432083333678e-05,1.4303179480130123e-05,1,35,1.4303179480130123e-05,29,1.2962400256715743e-11,1.4303179480130123e-05,1.5543122344752192e-14
3,29,1.4303179480130123e-05,8.9740373591410213e-06,1,36,8.9740373591410213e-06,29,1.285039371137191e-11,8.9740373591410213e-06,1.5543122344752192e-14
4,29,8.9740373591410213e-06,5.145726888155759e-06,1,37,5.145726888155759e-06,29,1.2565462615306368e-11,5.145726888155759e-06,1.6431300764452317e-14
5,29,5.145726888155759e-06,3.6297712570121738e-06,1,38,3.6297712570121738e-06,29,1.1942551714993391e-11,3.6297712570121738e-06,1.4654943925052066e-14
6,29,3.6297712570121738e-06,2.874519038500015e-06,1,39,2.874519038500015e-06,29,1.1591280372112022e-11,2.874519038500015e-06,1.5765166949677223e-14
7,29,2.874519038500015e-06,1.3782413300148341e-06,1,40,1.3782413300148341e-06,29,1.1423490398024878e-11,1.3782413300148341e-06,1.5543122344752192e-14
8,29,1.3782413300148341e-06,8.565515122012337e-07,1,41,8.565515122012337e-07,29,1.1304381145455613e-11,8.565515122012337e-07,1.8873791418627661e-14
9,29,8.565515122012337e-07,6.9391075123353468e-07,1,42,6.9391075123353468e-07,29,1.1152079763425637e-11,6.9391075123353468e-07,1.4876988529977098e-14
10,29,6.9391075123353468e-07,4.701688758312347e-07,1,43,4.701688758312347e-07,29,1.1011048488171017e-11,4.701688758312347e-07,1.5987211554602254e-14
