davidson_step,active_pairs,accepted_corrections,rejected_corrections,correction_norm_before_ortho,correction_norm_after_ortho,residual_before_global,residual_after_global,pair_28_before,pair_28_after,pair_29_before,pair_29_after,accepted,reject_reason,basis_cols_before,basis_cols_after,orthogonality_error_before,orthogonality_error_after
31,29,1,1,2.3254882609793195e-09,1.928893483989003e-09,5.5143751635494104e-11,3.5216648402600643e-11,7.0782220734672213e-14,6.9931478172768538e-14,5.5143751635494104e-11,3.5216648402600643e-11,1,none,35,36,1.532107773982716e-14,1.5099033134902129e-14
32,29,1,1,1.7436374656898903e-09,1.380196995753497e-09,3.5216648402600643e-11,1.8682957884777604e-11,6.9931478172768538e-14,6.9576427364678997e-14,3.5216648402600643e-11,1.8682957884777604e-11,1,none,36,37,1.5099033134902129e-14,1.6431300764452317e-14
33,29,1,1,1.2865088434707437e-09,1.0050817377753595e-09,1.8682957884777604e-11,1.2804177685246849e-11,6.9576427364678997e-14,6.859761402054183e-14,1.8682957884777604e-11,1.2804177685246849e-11,1,none,37,38,1.6431300764452317e-14,1.4876988529977098e-14
34,29,1,1,9.5201981220771876e-10,6.0323402918651642e-10,1.2804177685246849e-11,8.3477119200916222e-12,6.859761402054183e-14,6.8019341637300488e-14,1.2804177685246849e-11,8.3477119200916222e-12,1,none,38,39,1.4876988529977098e-14,1.4876988529977098e-14
35,29,1,1,4.4490980655613268e-10,2.9534917124376773e-10,8.3477119200916222e-12,4.1318600231210646e-12,6.8019341637300488e-14,6.9320550434033066e-14,8.3477119200916222e-12,4.1318600231210646e-12,1,none,39,40,1.4876988529977098e-14,1.7097434579227411e-14
36,29,1,1,1.7983206170206314e-10,1.3654273827212308e-10,4.1318600231210646e-12,2.2402993255633472e-12,6.9320550434033066e-14,7.0291470814790444e-14,4.1318600231210646e-12,2.2402993255633472e-12,1,none,40,41,1.7097434579227411e-14,1.3988810110276972e-14
37,29,1,1,1.2110290970887261e-10,8.234789761318449e-11,2.2402993255633472e-12,1.1822315829962778e-12,7.0291470814790444e-14,6.8280759869235667e-14,2.2402993255633472e-12,1.1822315829962778e-12,1,none,41,42,1.3988810110276972e-14,1.532107773982716e-14
38,29,1,1,9.4242889023425622e-11,6.4347576624235183e-11,1.1822315829962778e-12,8.4896486947232561e-13,6.8280759869235667e-14,6.807084722509299e-14,1.1822315829962778e-12,8.4896486947232561e-13,1,none,42,43,1.532107773982716e-14,1.6875389974302379e-14
39,29,1,1,6.1342085555454935e-11,3.799410267283165e-11,8.4896486947232561e-13,6.247340790609344e-13,6.807084722509299e-14,6.718436886923184e-14,8.4896486947232561e-13,6.247340790609344e-13,1,none,43,44,1.6875389974302379e-14,1.532107773982716e-14
40,29,1,1,3.296338168419272e-11,2.1508258221059286e-11,6.247340790609344e-13,4.1766984132206833e-13,6.718436886923184e-14,6.717083020216846e-14,6.247340790609344e-13,4.1766984132206833e-13,1,none,44,45,1.532107773982716e-14,1.5543122344752192e-14
41,29,1,1,2.2607864459449608e-11,1.5643556166437875e-11,4.1766984132206833e-13,3.0201145287051986e-13,6.717083020216846e-14,6.7573069220000375e-14,4.1766984132206833e-13,3.0201145287051986e-13,1,none,45,46,1.5543122344752192e-14,1.7319479184152442e-14
42,29,1,1,1.5932884020810592e-11,1.0819637595890061e-11,3.0201145287051986e-13,1.6341786665658021e-13,6.7573069220000375e-14,6.7302942851176135e-14,3.0201145287051986e-13,1.6341786665658021e-13,1,none,46,47,1.7319479184152442e-14,1.6209256159527285e-14
43,29,1,1,9.7783713684108489e-12,7.0733268389034859e-12,1.6341786665658021e-13,9.4153165108982547e-14,6.7302942851176135e-14,6.6688318785329375e-14,1.6341786665658021e-13,9.4153165108982547e-14,1,none,47,48,1.6209256159527285e-14,1.5543122344752192e-14
44,none,0,2,,,9.4153165108982547e-14,9.4153165108982547e-14,6.6688318785329375e-14,6.6688318785329375e-14,9.4153165108982547e-14,9.4153165108982547e-14,0,no_valid_correction,48,48,1.5543122344752192e-14,1.5543122344752192e-14
