method,exit_code,status,requested_k,returned_k,basis_cols,iterations,matvecs,solve_time_sec,max_relative_eigen_residual,max_relative_eigen_residual_index,relative_fixed_point_residual,passed_relative_threshold,result_dir,log_dir
IPT_block_active_selective_Davidson,3,failed,30,30,39,200,,9.4262908029486425,4.9677231777310539e-05,29,12.543771019540182,0,/fs1/home/nudt_liujie/ftt/IPT_C_GPU/results/sparse/CH4_K30_debug/ipt_vs_primme_k30_v1/3089711/ipt_block_active_davidson,/fs1/home/nudt_liujie/ftt/IPT_C_GPU/logs/sparse/CH4_K30_dubug/ipt_vs_primme_k30_v1/3089711/ipt_block_active_davidson
PRIMME_JDQMR_ETol,0,success,30,30,,62,3814,9.9451309140422381,4.6743047914573202e-13,5,,1,/fs1/home/nudt_liujie/ftt/IPT_C_GPU/results/sparse/CH4_K30_debug/ipt_vs_primme_k30_v1/3089711/primme_jdqmr_etol,/fs1/home/nudt_liujie/ftt/IPT_C_GPU/logs/sparse/CH4_K30_dubug/ipt_vs_primme_k30_v1/3089711/primme_jdqmr_etol
