davidson_step,active_pair_index,residual_before,residual_after,accepted,basis_cols,max_relative_eigen_residual,max_relative_eigen_residual_index,pair_28_residual,pair_29_residual,orthogonality_error,restarted,best_so_far_updated,best_so_far_step,best_so_far_max_residual,pair28_best_residual,pair29_best_residual,relaxed_accept_enabled,accept_global_ok,accept_active_ok,accept_locked_safe,accept_reason,reject_retry_count,retry_alpha,retry_denom_clip,accepted_steps,rejected_steps,min_accepted_steps,early_jump_to_continuation
10,29,1.1787170032543538e-06,7.111058929487967e-07,1,35,7.111058929487967e-07,29,3.0538231372824093e-12,7.111058929487967e-07,1.5765166949677223e-14,1,1,10,7.111058929487967e-07,3.0538231372824093e-12,7.111058929487967e-07,1,1,1,1,global_ok+active_ok,0,1,3e-09,10,0,12,0
10,28,3.8009315055340569e-12,3.0538231372824093e-12,1,35,7.111058929487967e-07,29,3.0538231372824093e-12,7.111058929487967e-07,1.5765166949677223e-14,1,1,10,7.111058929487967e-07,3.0538231372824093e-12,7.111058929487967e-07,1,1,1,1,global_ok+active_ok,0,1,3e-09,10,0,12,0
11,29,7.111058929487967e-07,4.2268734810374147e-07,1,37,4.2268734810374147e-07,29,1.6656524105537008e-12,4.2268734810374147e-07,1.4432899320127035e-14,0,1,11,4.2268734810374147e-07,1.6656524105537008e-12,4.2268734810374147e-07,1,1,1,1,global_ok+active_ok,0,1,3e-09,11,0,12,0
11,28,3.0538231372824093e-12,1.6656524105537008e-12,1,37,4.2268734810374147e-07,29,1.6656524105537008e-12,4.2268734810374147e-07,1.4432899320127035e-14,0,1,11,4.2268734810374147e-07,1.6656524105537008e-12,4.2268734810374147e-07,1,1,1,1,global_ok+active_ok,0,1,3e-09,11,0,12,0
12,29,4.2268734810374147e-07,2.7920928584751361e-07,1,39,2.7920928584751361e-07,29,1.5173281920995311e-12,2.7920928584751361e-07,1.4876988529977098e-14,0,1,12,2.7920928584751361e-07,1.5173281920995311e-12,2.7920928584751361e-07,1,1,1,1,global_ok+active_ok,0,1,3e-09,12,0,12,0
12,28,1.6656524105537008e-12,1.5173281920995311e-12,1,39,2.7920928584751361e-07,29,1.5173281920995311e-12,2.7920928584751361e-07,1.4876988529977098e-14,0,1,12,2.7920928584751361e-07,1.5173281920995311e-12,2.7920928584751361e-07,1,1,1,1,global_ok+active_ok,0,1,3e-09,12,0,12,0
13,29,2.7920928584751361e-07,1.7185964365730057e-07,1,41,1.7185964365730057e-07,29,8.3587855876087489e-13,1.7185964365730057e-07,1.7763568394002505e-14,0,1,13,1.7185964365730057e-07,8.3587855876087489e-13,1.7185964365730057e-07,1,1,1,1,global_ok+active_ok,0,1,3e-09,13,0,12,0
13,28,1.5173281920995311e-12,8.3587855876087489e-13,1,41,1.7185964365730057e-07,29,8.3587855876087489e-13,1.7185964365730057e-07,1.7763568394002505e-14,0,1,13,1.7185964365730057e-07,8.3587855876087489e-13,1.7185964365730057e-07,1,1,1,1,global_ok+active_ok,0,1,3e-09,13,0,12,0
14,29,1.7185964365730057e-07,1.1922276384156431e-07,1,43,1.1922276384156431e-07,29,6.7474753657414651e-13,1.1922276384156431e-07,1.3877787807814457e-14,0,1,14,1.1922276384156431e-07,6.7474753657414651e-13,1.1922276384156431e-07,1,1,1,1,global_ok+active_ok,0,1,3e-09,14,0,12,0
14,28,8.3587855876087489e-13,6.7474753657414651e-13,1,43,1.1922276384156431e-07,29,6.7474753657414651e-13,1.1922276384156431e-07,1.3877787807814457e-14,0,1,14,1.1922276384156431e-07,6.7474753657414651e-13,1.1922276384156431e-07,1,1,1,1,global_ok+active_ok,0,1,3e-09,14,0,12,0
15,29,1.1922276384156431e-07,7.5331089913102225e-08,1,45,7.5331089913102225e-08,29,6.6455160386546311e-13,7.5331089913102225e-08,1.7097434579227411e-14,0,1,15,7.5331089913102225e-08,6.6455160386546311e-13,7.5331089913102225e-08,1,1,1,1,global_ok+active_ok,0,1,3e-09,15,0,12,0
15,24,7.4694473139472808e-13,2.0345644026359464e-13,1,45,7.5331089913102225e-08,29,6.6455160386546311e-13,7.5331089913102225e-08,1.7097434579227411e-14,0,1,15,7.5331089913102225e-08,6.6455160386546311e-13,7.5331089913102225e-08,1,1,1,1,global_ok+active_ok,0,1,3e-09,15,0,12,0
16,29,7.5331089913102225e-08,4.1931246766666937e-08,1,47,4.1931246766666937e-08,29,5.0727019872748616e-13,4.1931246766666937e-08,1.5099033134902129e-14,0,1,16,4.1931246766666937e-08,5.0727019872748616e-13,4.1931246766666937e-08,1,1,1,1,global_ok+active_ok,0,1,3e-09,16,0,12,0
16,28,6.6455160386546311e-13,5.0727019872748616e-13,1,47,4.1931246766666937e-08,29,5.0727019872748616e-13,4.1931246766666937e-08,1.5099033134902129e-14,0,1,16,4.1931246766666937e-08,5.0727019872748616e-13,4.1931246766666937e-08,1,1,1,1,global_ok+active_ok,0,1,3e-09,16,0,12,0
17,29,4.1931246766666937e-08,2.6538885416104763e-08,1,49,2.6538885416104763e-08,29,5.2565268742533142e-13,2.6538885416104763e-08,1.3322676295501878e-14,0,1,17,2.6538885416104763e-08,5.0727019872748616e-13,2.6538885416104763e-08,1,1,1,1,global_ok+active_ok,0,1,3e-09,17,0,12,0
17,28,5.0727019872748616e-13,5.2565268742533142e-13,1,49,2.6538885416104763e-08,29,5.2565268742533142e-13,2.6538885416104763e-08,1.3322676295501878e-14,0,1,17,2.6538885416104763e-08,5.0727019872748616e-13,2.6538885416104763e-08,1,1,1,1,global_ok+active_ok,0,1,3e-09,17,0,12,0
18,29,2.6538885416104763e-08,1.4742179438357849e-08,1,51,1.4742179438357849e-08,29,4.4511099357757275e-13,1.4742179438357849e-08,1.3988810110276972e-14,0,1,18,1.4742179438357849e-08,4.4511099357757275e-13,1.4742179438357849e-08,1,1,1,1,global_ok+active_ok,0,1,3e-09,18,0,12,0
18,28,5.2565268742533142e-13,4.4511099357757275e-13,1,51,1.4742179438357849e-08,29,4.4511099357757275e-13,1.4742179438357849e-08,1.3988810110276972e-14,0,1,18,1.4742179438357849e-08,4.4511099357757275e-13,1.4742179438357849e-08,1,1,1,1,global_ok+active_ok,0,1,3e-09,18,0,12,0
19,29,1.4742179438357849e-08,8.5683517128442809e-09,1,53,8.5683517128442809e-09,29,3.0014707132738499e-13,8.5683517128442809e-09,1.2545520178264269e-14,0,1,19,8.5683517128442809e-09,3.0014707132738499e-13,8.5683517128442809e-09,1,1,1,1,global_ok+active_ok,0,1,3e-09,19,0,12,0
19,28,4.4511099357757275e-13,3.0014707132738499e-13,1,53,8.5683517128442809e-09,29,3.0014707132738499e-13,8.5683517128442809e-09,1.2545520178264269e-14,0,1,19,8.5683517128442809e-09,3.0014707132738499e-13,8.5683517128442809e-09,1,1,1,1,global_ok+active_ok,0,1,3e-09,19,0,12,0
20,29,8.5683517128442809e-09,4.6824507022534599e-09,1,35,4.6824507022534599e-09,29,2.6335856696843944e-13,4.6824507022534599e-09,1.5765166949677223e-14,1,1,20,4.6824507022534599e-09,2.6335856696843944e-13,4.6824507022534599e-09,1,1,1,1,global_ok+active_ok,0,1,3e-09,20,0,12,0
20,26,3.759969646467343e-13,1.5477171123119739e-13,1,35,4.6824507022534599e-09,29,2.6335856696843944e-13,4.6824507022534599e-09,1.5765166949677223e-14,1,1,20,4.6824507022534599e-09,2.6335856696843944e-13,4.6824507022534599e-09,1,1,1,1,global_ok+active_ok,0,1,3e-09,20,0,12,0
21,29,4.6824507022534599e-09,3.2059698741037794e-09,1,37,3.2059698741037794e-09,29,2.542530647193326e-13,3.2059698741037794e-09,1.1324274851176597e-14,0,1,21,3.2059698741037794e-09,2.542530647193326e-13,3.2059698741037794e-09,1,1,1,1,global_ok+active_ok,0,1,3e-09,21,0,12,0
21,5,3.0135980836799412e-13,1.1593169066997788e-13,1,37,3.2059698741037794e-09,29,2.542530647193326e-13,3.2059698741037794e-09,1.1324274851176597e-14,0,1,21,3.2059698741037794e-09,2.542530647193326e-13,3.2059698741037794e-09,1,1,1,1,global_ok+active_ok,0,1,3e-09,21,0,12,0
22,29,3.2059698741037794e-09,2.3602951944317501e-09,1,39,2.3602951944317501e-09,29,2.4964230206092565e-13,2.3602951944317501e-09,1.354472090042691e-14,0,1,22,2.3602951944317501e-09,2.4964230206092565e-13,2.3602951944317501e-09,1,1,1,1,global_ok+active_ok,0,1,3e-09,22,0,12,0
22,14,2.8130267637184179e-13,8.4446075810735882e-14,1,39,2.3602951944317501e-09,29,2.4964230206092565e-13,2.3602951944317501e-09,1.354472090042691e-14,0,1,22,2.3602951944317501e-09,2.4964230206092565e-13,2.3602951944317501e-09,1,1,1,1,global_ok+active_ok,0,1,3e-09,22,0,12,0
23,29,2.3602951944317501e-09,1.7429290577837975e-09,1,41,1.7429290577837975e-09,29,1.4463978549412526e-13,1.7429290577837975e-09,1.6875389974302379e-14,0,1,23,1.7429290577837975e-09,1.4463978549412526e-13,1.7429290577837975e-09,1,1,1,1,global_ok+active_ok,0,1,3e-09,23,0,12,0
23,28,2.4964230206092565e-13,1.4463978549412526e-13,1,41,1.7429290577837975e-09,29,1.4463978549412526e-13,1.7429290577837975e-09,1.6875389974302379e-14,0,1,23,1.7429290577837975e-09,1.4463978549412526e-13,1.7429290577837975e-09,1,1,1,1,global_ok+active_ok,0,1,3e-09,23,0,12,0
24,29,1.7429290577837975e-09,1.5004097664138331e-09,1,43,1.5004097664138331e-09,29,1.5027891781674415e-13,1.5004097664138331e-09,1.3988810110276972e-14,0,1,24,1.5004097664138331e-09,1.4463978549412526e-13,1.5004097664138331e-09,1,1,1,1,global_ok+active_ok,0,1,3e-09,24,0,12,0
24,24,1.6833185619629805e-13,7.8617562320038932e-14,1,43,1.5004097664138331e-09,29,1.5027891781674415e-13,1.5004097664138331e-09,1.3988810110276972e-14,0,1,24,1.5004097664138331e-09,1.4463978549412526e-13,1.5004097664138331e-09,1,1,1,1,global_ok+active_ok,0,1,3e-09,24,0,12,0
25,29,1.5004097664138331e-09,9.5289401477713459e-10,1,45,9.5289401477713459e-10,29,1.1588776887854727e-13,9.5289401477713459e-10,1.6209256159527285e-14,0,1,25,9.5289401477713459e-10,1.1588776887854727e-13,9.5289401477713459e-10,1,1,1,1,global_ok+active_ok,0,1,3e-09,25,0,12,0
25,28,1.5027891781674415e-13,1.1588776887854727e-13,1,45,9.5289401477713459e-10,29,1.1588776887854727e-13,9.5289401477713459e-10,1.6209256159527285e-14,0,1,25,9.5289401477713459e-10,1.1588776887854727e-13,9.5289401477713459e-10,1,1,1,1,global_ok+active_ok,0,1,3e-09,25,0,12,0
26,29,9.5289401477713459e-10,8.6117493301309976e-10,1,47,8.6117493301309976e-10,29,1.1305047126090474e-13,8.6117493301309976e-10,1.532107773982716e-14,0,1,26,8.6117493301309976e-10,1.1305047126090474e-13,8.6117493301309976e-10,1,1,1,1,global_ok+active_ok,0,1,3e-09,26,0,12,0
26,25,1.4682869551528804e-13,4.7377950926526264e-14,1,47,8.6117493301309976e-10,29,1.1305047126090474e-13,8.6117493301309976e-10,1.532107773982716e-14,0,1,26,8.6117493301309976e-10,1.1305047126090474e-13,8.6117493301309976e-10,1,1,1,1,global_ok+active_ok,0,1,3e-09,26,0,12,0
27,29,8.6117493301309976e-10,7.6624901804169012e-10,1,49,7.6624901804169012e-10,29,1.1333910705375251e-13,7.6624901804169012e-10,1.5099033134902129e-14,0,1,27,7.6624901804169012e-10,1.1305047126090474e-13,7.6624901804169012e-10,1,1,1,1,global_ok+active_ok,0,1,3e-09,27,0,12,0
27,1,1.4068338181333163e-13,3.4925222907662958e-14,1,49,7.6624901804169012e-10,29,1.1333910705375251e-13,7.6624901804169012e-10,1.5099033134902129e-14,0,1,27,7.6624901804169012e-10,1.1305047126090474e-13,7.6624901804169012e-10,1,1,1,1,global_ok+active_ok,0,1,3e-09,27,0,12,0
