davidson_step,active_pair_index,residual_before,residual_after,accepted,basis_cols,max_relative_eigen_residual,max_relative_eigen_residual_index,pair_28_residual,pair_29_residual,orthogonality_error
1,29,0.00070118276833787613,6.3663871469248995e-05,1,34,6.3663871469248995e-05,29,5.4305622880369593e-12,6.3663871469248995e-05,1.532107773982716e-14
2,29,6.3663871469248995e-05,2.5671139030110455e-05,1,35,2.5671139030110455e-05,29,5.3506930084589596e-12,2.5671139030110455e-05,1.5099033134902129e-14
3,29,2.5671139030110455e-05,1.7997414512380923e-05,1,36,1.7997414512380923e-05,29,5.3304678426272475e-12,1.7997414512380923e-05,1.021405182655144e-14
4,29,1.7997414512380923e-05,1.0198925874552846e-05,1,37,1.0198925874552846e-05,29,5.3283828002878826e-12,1.0198925874552846e-05,1.3100631690576847e-14
5,29,1.0198925874552846e-05,6.6251420044284528e-06,1,38,6.6251420044284528e-06,29,5.327697829964389e-12,6.6251420044284528e-06,1.3988810110276972e-14
6,29,6.6251420044284528e-06,5.9013039644080023e-06,1,39,5.9013039644080023e-06,29,5.3280461084403537e-12,5.9013039644080023e-06,1.3100631690576847e-14
7,29,5.9013039644080023e-06,5.1648845750120905e-06,1,40,5.1648845750120905e-06,29,5.3250408909158098e-12,5.1648845750120905e-06,1.532107773982716e-14
8,29,5.1648845750120905e-06,4.1923159976252746e-06,1,41,4.1923159976252746e-06,29,5.3246435961542163e-12,4.1923159976252746e-06,1.2212453270876722e-14
9,29,4.1923159976252746e-06,3.3136646526726465e-06,1,42,3.3136646526726465e-06,29,5.3239428602124143e-12,3.3136646526726465e-06,1.4432899320127035e-14
10,29,3.3136646526726465e-06,2.3918448769597598e-06,1,43,2.3918448769597598e-06,29,5.3215535957305567e-12,2.3918448769597598e-06,1.6986412276764895e-14
11,29,2.3918448769597598e-06,1.6121717122434518e-06,1,44,1.6121717122434518e-06,29,5.3181898775681942e-12,1.6121717122434518e-06,1.0880185641326534e-14
12,29,1.6121717122434518e-06,1.5097345633638428e-06,1,45,1.5097345633638428e-06,29,5.3183227873270957e-12,1.5097345633638428e-06,1.7097434579227411e-14
13,29,1.5097345633638428e-06,1.0175049805754823e-06,1,46,1.0175049805754823e-06,29,5.3183216232404483e-12,1.0175049805754823e-06,1.1324274851176597e-14
14,29,1.0175049805754823e-06,5.2750544220511239e-07,1,47,5.2750544220511239e-07,29,5.3187003943027436e-12,5.2750544220511239e-07,1.7763568394002505e-14
15,29,5.2750544220511239e-07,2.3804804209092307e-07,1,48,2.3804804209092307e-07,29,5.317469134636223e-12,2.3804804209092307e-07,1.27675647831893e-14
16,29,2.3804804209092307e-07,1.2443762643721671e-07,1,49,1.2443762643721671e-07,29,5.3169111670037214e-12,1.2443762643721671e-07,1.2878587085651816e-14
17,29,1.2443762643721671e-07,8.2078925867063962e-08,1,50,8.2078925867063962e-08,29,5.3187039138420103e-12,8.2078925867063962e-08,1.2656542480726785e-14
18,29,8.2078925867063962e-08,5.6609944376508002e-08,1,51,5.6609944376508002e-08,29,5.3189484055338734e-12,5.6609944376508002e-08,1.1768364061026659e-14
19,29,5.6609944376508002e-08,3.4429586611069617e-08,1,52,3.4429586611069617e-08,29,5.313814022912068e-12,3.4429586611069617e-08,1.2323475573339238e-14
20,29,3.4429586611069617e-08,1.796384376453982e-08,1,53,1.796384376453982e-08,29,5.3148428940900438e-12,1.796384376453982e-08,1.1768364061026659e-14
