method,exit_code,status,requested_k,returned_k,basis_cols,iterations,matvecs,solve_time_sec,solve_time_source,max_relative_eigen_residual,max_relative_eigen_residual_index,relative_fixed_point_residual,passed_relative_threshold,result_dir,log_dir
IPT_block_active_selective_Davidson,3,failed,30,30,36,200,,4.858758e+00,ipt_log_solve_field,1.40996550803623e-12,29,2.3285421879466965,0,/fs1/home/nudt_liujie/ftt/IPT_C_GPU/results/sparse/CH4_K30_debug/ipt_vs_primme_k30_v1/cmp_1e8_extra10_ortho2_v2/ipt_block_active_davidson,/fs1/home/nudt_liujie/ftt/IPT_C_GPU/logs/sparse/CH4_K30_dubug/ipt_vs_primme_k30_v1/cmp_1e8_extra10_ortho2_v2/ipt_block_active_davidson
PRIMME_JDQMR_ETol,0,success,30,30,,58,3807,9.9421641859808005,primme_timing_csv_solve_time_sec,4.5861970965099252e-13,12,,1,/fs1/home/nudt_liujie/ftt/IPT_C_GPU/results/sparse/CH4_K30_debug/ipt_vs_primme_k30_v1/cmp_1e8_extra10_ortho2_v2/primme_jdqmr_etol,/fs1/home/nudt_liujie/ftt/IPT_C_GPU/logs/sparse/CH4_K30_dubug/ipt_vs_primme_k30_v1/cmp_1e8_extra10_ortho2_v2/primme_jdqmr_etol
