davidson_step,pair_index,residual,selected_by_residual,selected_forced,skipped_converged,skipped_active_tol,skipped_linear_dependent,skipped_locked_old_logic_should_not_happen,correction_norm_before_ortho,correction_norm_after_ortho
1,29,0.00061850426959559051,1,0,0,0,0,0,0.032542384335127093,0.03203266068835077
1,28,1.3339270438193858e-11,1,0,0,0,0,0,6.491031082013074e-10,5.7802866016963577e-10
2,29,5.2630709156459679e-05,1,0,0,0,0,0,0.0052450564027263493,0.0037128359726611741
2,28,3.5747521065256928e-12,1,0,0,0,0,0,1.8824234618757617e-10,1.407864634381641e-10
3,29,2.746522692385436e-05,1,0,0,0,0,0,0.0023460453623008206,0.0014710262876333274
3,28,1.4821346826406551e-12,1,0,0,0,0,0,1.3246856640164886e-10,8.6209414791173379e-11
4,29,1.6162176317326959e-05,1,0,0,0,0,0,0.00076326898328543777,0.00047419614867188987
4,28,7.8663683290094533e-13,1,0,0,0,0,0,4.5526655566117983e-11,2.995915764320642e-11
5,29,5.959690927949416e-06,1,0,0,0,0,0,0.00020293509844778287,0.0001577027582044448
5,28,3.9876492139790568e-13,1,0,0,0,0,0,1.9881158523953645e-11,1.7026425793281232e-11
6,29,2.2087740092463731e-06,1,0,0,0,0,0,9.6666899777314233e-05,6.1597169184469236e-05
6,28,2.7981342546489146e-13,1,0,0,0,0,0,1.9683325695135067e-11,1.3123769127280683e-11
7,29,1.3847819820901088e-06,1,0,0,0,0,0,6.1760923053488169e-05,3.9188840998136086e-05
7,28,2.9149828426834347e-13,1,0,0,0,0,0,1.2556703882942665e-11,8.6269202867531027e-12
8,29,9.5800577005027008e-07,1,0,0,0,0,0,5.6820550024088261e-05,3.9718594243237911e-05
8,28,2.2088517094717669e-13,1,0,0,0,0,0,1.0501481699903435e-11,7.4605108373241068e-12
9,29,5.0405119736087083e-07,1,0,0,0,0,0,3.3243522631984368e-05,2.0054125856608333e-05
9,28,1.4788420813778822e-13,1,0,0,0,0,0,8.291982828016674e-12,5.7766507605725069e-12
10,29,2.4190781668673799e-07,1,0,0,0,0,0,1.4147673744665117e-05,9.1131806469409678e-06
10,28,1.3003332874171293e-13,1,0,0,0,0,0,4.4247533919735087e-12,3.6308884162078314e-12
11,29,1.2522472982605362e-07,1,0,0,0,0,0,5.1190721847715993e-06,4.3285018784705772e-06
11,28,8.0849540659669443e-14,0,0,1,0,0,0,0,0
11,27,7.4749887060942785e-14,0,0,1,0,0,0,0,0
11,26,5.9703225566173266e-14,0,0,1,0,0,0,0,0
11,25,3.484923681264018e-14,0,0,1,0,0,0,0,0
11,24,1.7739330145015719e-14,0,0,1,0,0,0,0,0
11,1,1.2839773205650822e-14,0,0,1,0,0,0,0,0
11,17,9.9496619936207064e-15,0,0,1,0,0,0,0,0
