davidson_step,active_pairs,accepted_corrections,rejected_corrections,correction_norm_before_ortho,correction_norm_after_ortho,residual_before_global,residual_after_global,pair_28_before,pair_28_after,pair_29_before,pair_29_after,accepted,reject_reason,basis_cols_before,basis_cols_after,orthogonality_error_before,orthogonality_error_after
31,29,1,1,3.7484153697094926e-08,3.038246274330452e-08,7.4309745867086624e-10,5.4353787637651106e-10,8.8208469669436617e-14,8.7943588326263732e-14,7.4309745867086624e-10,5.4353787637651106e-10,1,none,42,43,1.8429702208777599e-14,1.3988810110276972e-14
32,29,1,1,2.467406166942729e-08,2.1465792998525804e-08,5.4353787637651106e-10,5.3217253271999695e-10,8.7943588326263732e-14,9.0705293143331238e-14,5.4353787637651106e-10,5.3217253271999695e-10,1,none,43,44,1.3988810110276972e-14,1.4543921622589551e-14
33,29,1,1,3.1723269329817459e-08,2.3272780300868861e-08,5.3217253271999695e-10,5.1208296158304606e-10,9.0705293143331238e-14,9.0081723461167207e-14,5.3217253271999695e-10,5.1208296158304606e-10,1,none,44,45,1.4543921622589551e-14,1.4432899320127035e-14
34,29,1,1,3.2935435390509691e-08,2.1671084840208538e-08,5.1208296158304606e-10,3.5854087617018905e-10,9.0081723461167207e-14,8.6815892426348696e-14,5.1208296158304606e-10,3.5854087617018905e-10,1,none,45,46,1.4432899320127035e-14,1.5543122344752192e-14
35,29,1,1,2.288008240987161e-08,1.6724546307691825e-08,3.5854087617018905e-10,2.0895930498827588e-10,8.6815892426348696e-14,8.581061641458964e-14,3.5854087617018905e-10,2.0895930498827588e-10,1,none,46,47,1.5543122344752192e-14,1.5765166949677223e-14
36,29,1,1,1.5248465947173551e-08,1.1813328496155538e-08,2.0895930498827588e-10,1.2735693043890153e-10,8.581061641458964e-14,8.5643386078986217e-14,2.0895930498827588e-10,1.2735693043890153e-10,1,none,47,48,1.5765166949677223e-14,1.3988810110276972e-14
37,29,1,1,1.0349382596495228e-08,6.619395569246065e-09,1.2735693043890153e-10,8.5984085584543797e-11,8.5643386078986217e-14,8.5623016081093088e-14,1.2735693043890153e-10,8.5984085584543797e-11,1,none,48,49,1.3988810110276972e-14,1.4210854715202004e-14
38,29,1,1,5.5501933400790419e-09,3.6750461553657275e-09,8.5984085584543797e-11,6.2198244639786267e-11,8.5623016081093088e-14,8.6310750131819684e-14,8.5984085584543797e-11,6.2198244639786267e-11,1,none,49,50,1.4210854715202004e-14,1.4432899320127035e-14
39,29,1,1,2.9743660318953411e-09,2.2761304508805923e-09,6.2198244639786267e-11,4.4912726342062648e-11,8.6310750131819684e-14,8.8608919945540028e-14,6.2198244639786267e-11,4.4912726342062648e-11,1,none,50,51,1.4432899320127035e-14,1.5987211554602254e-14
40,29,1,1,1.8963624672280804e-09,1.5472139009920672e-09,4.4912726342062648e-11,2.6658133196421678e-11,8.8608919945540028e-14,8.601379599435456e-14,4.4912726342062648e-11,2.6658133196421678e-11,1,none,51,52,1.5987211554602254e-14,1.865174681370263e-14
41,29,1,1,1.1315141408956368e-09,9.3738875474472001e-10,2.6658133196421678e-11,1.4583832093083625e-11,8.601379599435456e-14,7.9570273964079891e-14,2.6658133196421678e-11,1.4583832093083625e-11,1,none,52,53,1.865174681370263e-14,1.7541523789077473e-14
42,29,1,1,5.3828368204433209e-10,4.7985981569468162e-10,1.4583832093083625e-11,7.6300262086464505e-12,7.9570273964079891e-14,8.0054826130926322e-14,1.4583832093083625e-11,7.6300262086464505e-12,1,none,53,54,1.7541523789077473e-14,1.4432899320127035e-14
43,29,1,1,2.7995604134647578e-10,2.5181829458101996e-10,7.6300262086464505e-12,3.3341349146508518e-12,8.0054826130926322e-14,7.7800085066899341e-14,7.6300262086464505e-12,3.3341349146508518e-12,1,none,54,35,1.4432899320127035e-14,1.3766765505351941e-14
44,29,1,1,1.225524485696698e-10,1.0841453093341845e-10,3.3341349146508518e-12,1.3358225265503512e-12,7.7800085066899341e-14,7.793143105855653e-14,3.3341349146508518e-12,1.3358225265503512e-12,1,none,35,36,1.3766765505351941e-14,1.6209256159527285e-14
45,29,1,1,6.9150739723407698e-11,5.527472889640453e-11,1.3358225265503512e-12,6.6787987680430549e-13,7.793143105855653e-14,7.6002580402579418e-14,1.3358225265503512e-12,6.6787987680430549e-13,1,none,36,37,1.6209256159527285e-14,1.4432899320127035e-14
46,29,1,1,5.0920667246609186e-11,3.6087595515549186e-11,6.6787987680430549e-13,4.126701669995286e-13,7.6002580402579418e-14,7.5383389171005271e-14,6.6787987680430549e-13,4.126701669995286e-13,1,none,37,38,1.4432899320127035e-14,1.5987211554602254e-14
47,29,1,1,3.3426389195968552e-11,2.0218099296240817e-11,4.126701669995286e-13,2.569204151433525e-13,7.5383389171005271e-14,7.4831596194434395e-14,4.126701669995286e-13,2.569204151433525e-13,1,none,38,39,1.5987211554602254e-14,1.5765166949677223e-14
48,29,1,1,1.6856703249938413e-11,1.1951051903433764e-11,2.569204151433525e-13,1.6945250953937906e-13,7.4831596194434395e-14,7.4733720672535501e-14,2.569204151433525e-13,1.6945250953937906e-13,1,none,39,40,1.5765166949677223e-14,1.4654943925052066e-14
49,29,1,1,1.0691366030723313e-11,6.9629849346325767e-12,1.6945250953937906e-13,1.1755686514415572e-13,7.4733720672535501e-14,7.4735190936751916e-14,1.6945250953937906e-13,1.1755686514415572e-13,1,none,40,41,1.4654943925052066e-14,1.4210854715202004e-14
50,29,1,1,6.7258640805018853e-12,4.4391863594462961e-12,1.1755686514415572e-13,8.9723596496938299e-14,7.4735190936751916e-14,7.3998076568640368e-14,1.1755686514415572e-13,7.3548101542611783e-14,1,none,41,42,1.4210854715202004e-14,1.3988810110276972e-14
