method,exit_code,status,requested_k,returned_k,basis_cols,iterations,matvecs,solve_time_sec,solve_time_source,max_relative_eigen_residual,max_relative_eigen_residual_index,relative_fixed_point_residual,best_so_far_updated,best_so_far_step,best_so_far_source,best_so_far_max_residual,final_returned_from_best_so_far,pair28_best_residual,pair29_best_residual,relaxed_accept_enabled,accepted_steps,rejected_steps,min_accepted_steps,early_jump_to_continuation,cluster_aware_accept_enabled,soft_cluster_locking_enabled,gap28_29,relative_gap28_29,cluster_residual_fro,cluster_residual_max,pair28_lock_state,pair29_lock_state,cluster_hard_locked,cluster_soft_locked_count,passed_relative_threshold,result_dir,log_dir
IPT_block_active_selective_Davidson,0,success,30,30,83,200,,5.835207e+00,ipt_log_solve_field,6.7492669123796561e-13,29,2.6508898369652507,1,36,davidson_continuation,6.7492669123796561e-13,0,5.0200973438986618e-13,6.7492669123796561e-13,1,36,1,12,0,1,1,0.010885675806093786,0.00027894894765243,nan,nan,inactive,inactive,0,0,1,/fs1/home/nudt_liujie/ftt/IPT_C_GPU/results/sparse/CH4_K30_debug/ipt_vs_primme_k30_v1/cluster_fix_auto_final_legacy_force_gpu_20260706/ipt_block_active_davidson,/fs1/home/nudt_liujie/ftt/IPT_C_GPU/logs/sparse/CH4_K30_dubug/ipt_vs_primme_k30_v1/cluster_fix_auto_final_legacy_force_gpu_20260706/ipt_block_active_davidson
PRIMME_JDQMR_ETol,0,success,30,30,,59,3813,7.8026145831681788,primme_timing_csv_solve_time_sec,4.7814998384511825e-13,29,,,,,,,,,,,,,,,,,,,,,,,,1,/fs1/home/nudt_liujie/ftt/IPT_C_GPU/results/sparse/CH4_K30_debug/ipt_vs_primme_k30_v1/cluster_fix_auto_final_legacy_force_gpu_20260706/primme_jdqmr_etol,/fs1/home/nudt_liujie/ftt/IPT_C_GPU/logs/sparse/CH4_K30_dubug/ipt_vs_primme_k30_v1/cluster_fix_auto_final_legacy_force_gpu_20260706/primme_jdqmr_etol
