davidson_step,active_pair_index,residual_before,residual_after,accepted,basis_cols,max_relative_eigen_residual,max_relative_eigen_residual_index,pair_28_residual,pair_29_residual,orthogonality_error
1,29,0.0011807567226397087,9.8159058632391429e-05,1,34,9.8159058632391429e-05,29,1.5392123829792143e-10,9.8159058632391429e-05,1.5987211554602254e-14
2,29,9.8159058632391429e-05,4.7236332067079603e-05,1,35,4.7236332067079603e-05,29,1.5377546607252993e-10,4.7236332067079603e-05,1.4876988529977098e-14
3,29,4.7236332067079603e-05,3.0807638503187373e-05,1,36,3.0807638503187373e-05,29,1.5309848407744486e-10,3.0807638503187373e-05,1.4765966227514582e-14
4,29,3.0807638503187373e-05,2.9245238795764025e-05,1,37,2.9245238795764025e-05,29,1.5306452577577765e-10,2.9245238795764025e-05,1.8207657603852567e-14
5,29,2.9245238795764025e-05,1.9048054633570923e-05,1,38,1.9048054633570923e-05,29,1.5144666778680285e-10,1.9048054633570923e-05,1.3322676295501878e-14
6,29,1.9048054633570923e-05,1.0056022168451839e-05,1,39,1.0056022168451839e-05,29,1.3616912780799961e-10,1.0056022168451839e-05,1.609823385706477e-14
7,29,1.0056022168451839e-05,5.3847017297210869e-06,1,40,5.3847017297210869e-06,29,1.2617115915076364e-10,5.3847017297210869e-06,1.5987211554602254e-14
8,29,5.3847017297210869e-06,4.2746703692154838e-06,1,41,4.2746703692154838e-06,29,1.2082646571209196e-10,4.2746703692154838e-06,1.7763568394002505e-14
9,29,4.2746703692154838e-06,4.0578793693680779e-06,1,42,4.0578793693680779e-06,29,1.1978540504028218e-10,4.0578793693680779e-06,1.9317880628477724e-14
10,29,4.0578793693680779e-06,3.8574879255720226e-06,1,43,3.8574879255720226e-06,29,1.1726487028457228e-10,3.8574879255720226e-06,1.7763568394002505e-14
