case,n,k,symmetric,vector_max_abs_diff,value_max_abs_diff,max_relative_residual,status
random_k1,32,1,0,1.3010426069826053e-18,3.3306690738754696e-16,3.3307642834190651e-16,PASS
random_k5,32,5,0,1.474514954580286e-17,1.7763568394002505e-15,3.5529564165627024e-16,PASS
random_full,32,32,0,1.3010426069826053e-17,0,1.8600430527059799e-18,PASS
symmetric_k1,32,1,1,8.6736173798840355e-19,1.1102230246251565e-16,1.1104673356221691e-16,PASS
symmetric_k5,32,5,1,4.3368086899420177e-18,8.8817841970012523e-16,2.9582531868120593e-16,PASS
symmetric_full,32,32,1,9.540979117872439e-18,0,1.1408832316088918e-18,PASS
random_medium,96,5,0,6.9388939039072284e-18,1.7763568394002505e-15,4.4359494834994953e-16,PASS
symmetric_medium,96,16,1,2.4719809532669501e-17,4.4408920985006262e-15,6.3466509097403487e-16,PASS
