davidson_step,active_pair_index,residual_before,residual_after,accepted,basis_cols,max_relative_eigen_residual,max_relative_eigen_residual_index,pair_28_residual,pair_29_residual,orthogonality_error
1,29,0.00051747059815462188,9.408061668025159e-05,1,34,9.408061668025159e-05,29,2.6581373933759774e-09,9.408061668025159e-05,1.5765166949677223e-14
2,29,9.408061668025159e-05,4.2467339595366115e-05,1,35,4.2467339595366115e-05,29,2.670129551460169e-09,4.2467339595366115e-05,1.1990408665951691e-14
3,29,4.2467339595366115e-05,2.1165895160663349e-05,1,36,2.1165895160663349e-05,29,2.6769123801107643e-09,2.1165895160663349e-05,2.0983215165415459e-14
4,29,2.1165895160663349e-05,1.0296805251634081e-05,1,37,1.0296805251634081e-05,29,2.6086196126949918e-09,1.0296805251634081e-05,1.3766765505351941e-14
5,29,1.0296805251634081e-05,5.0915489141501981e-06,1,38,5.0915489141501981e-06,29,2.5841097260031761e-09,5.0915489141501981e-06,1.0769163338864018e-14
6,29,5.0915489141501981e-06,4.5646261051469573e-06,1,39,4.5646261051469573e-06,29,2.5835042208957409e-09,4.5646261051469573e-06,2.1538326677728037e-14
7,29,4.5646261051469573e-06,3.6190032381929169e-06,1,40,3.6190032381929169e-06,29,2.582882142785623e-09,3.6190032381929169e-06,8.2156503822261584e-15
8,29,3.6190032381929169e-06,1.9154839334198117e-06,1,41,1.9154839334198117e-06,29,2.5825220460610992e-09,1.9154839334198117e-06,1.3988810110276972e-14
9,29,1.9154839334198117e-06,1.4077258704479887e-06,1,42,1.4077258704479887e-06,29,2.5738305509033467e-09,1.4077258704479887e-06,9.8809849191638932e-15
10,29,1.4077258704479887e-06,1.1057744114174277e-06,1,43,1.1057744114174277e-06,29,2.5744203353651227e-09,1.1057744114174277e-06,1.4210854715202004e-14
