method,k,avg_solve_time_sec,avg_api_total_time_sec,avg_preparation_time_sec,avg_transfer_setup_time_sec,avg_iteration_time_sec,avg_rayleigh_ritz_time_sec,avg_iterations,avg_matvecs,last_first_eigenvalue,last_max_relative_residual,last_relative_fixed_point_residual,eigenvalue_abs_residual,status,error,tol,maxiter
PRIMME_CUBLAS,30,3.1331910169683397,3.5781282717362046,0,0.44493725476786494,0,0,1618,5709,-56.054516870360764,9.3750744416500601e-13,nan,0,0,,9.9999999999999998e-13,200000
IPT_CUDA_BLOCK_CLUSTER,30,nan,4.0700500528328121,0,0,0,0,0,0,nan,nan,nan,nan,1,invalid argument,9.9999999999999998e-13,200
