davidson_step,active_pairs,accepted_corrections,rejected_corrections,correction_norm_before_ortho,correction_norm_after_ortho,residual_before_global,residual_after_global,pair_28_before,pair_28_after,pair_29_before,pair_29_after,accepted,reject_reason,basis_cols_before,basis_cols_after,orthogonality_error_before,orthogonality_error_after,best_so_far_updated,best_so_far_step,best_so_far_max_residual,pair28_best_residual,pair29_best_residual,relaxed_accept_enabled,accept_global_ok,accept_active_ok,accept_locked_safe,accept_reason,reject_retry_count,retry_alpha,retry_denom_clip,accepted_steps,rejected_steps,min_accepted_steps,early_jump_to_continuation,gap28_29,relative_gap28_29,cluster_residual_fro_before,cluster_residual_fro_after,cluster_residual_max_before,cluster_residual_max_after,ritz_overlap_28_28,ritz_overlap_28_29,ritz_overlap_29_28,ritz_overlap_29_29,ritz_overlap_swap_detected,pair28_lock_state,pair29_lock_state,cluster_hard_locked,cluster_soft_locked_count
31,29,1,0,4.5616792778857768e-10,4.0613629250151496e-10,1.2392204201316395e-11,6.7640925346264622e-12,8.1354447369747028e-13,8.1370100935783341e-13,1.2392204201316395e-11,6.7640925346264622e-12,1,none,73,74,1.4432899320127035e-14,1.5765166949677223e-14,1,31,6.7640925346264622e-12,8.1354447369747028e-13,6.7640925346264622e-12,1,1,1,1,global_ok+active_ok,0,1,3e-09,31,0,12,0,0.010885675806022732,0.00027894894765060951,1.241887996470726e-11,6.8128596895591057e-12,1.2392204201316395e-11,6.7640925346264622e-12,1.0000000000000127,9.3922542014515333e-14,9.4015268318509879e-14,1.000000000000006,0,soft,active,0,1
32,29,1,0,2.4841933717104961e-10,2.077812835328666e-10,6.7640925346264622e-12,3.1972870756191394e-12,8.1370100935783341e-13,8.1236950844620261e-13,6.7640925346264622e-12,3.1972870756191394e-12,1,none,74,75,1.5765166949677223e-14,1.5543122344752192e-14,1,32,3.1972870756191394e-12,8.1236950844620261e-13,3.1972870756191394e-12,1,1,1,1,global_ok+active_ok,0,1,3e-09,32,0,12,0,0.010885675806079576,0.00027894894765206614,6.8128596895591057e-12,3.2988769092183952e-12,6.7640925346264622e-12,3.1972870756191394e-12,1.0000000000000122,7.5750276866517818e-13,7.5750923966173155e-13,1.0000000000000049,0,soft,active,0,1
33,29,1,0,1.2325851283320227e-10,1.0030442051284842e-10,3.1972870756191394e-12,1.5090881498313678e-12,8.1236950844620261e-13,8.1292025724490701e-13,3.1972870756191394e-12,1.5090881498313678e-12,1,none,75,76,1.5543122344752192e-14,1.5987211554602254e-14,1,33,1.5090881498313678e-12,8.1236950844620261e-13,1.5090881498313678e-12,1,1,1,1,global_ok+active_ok,0,1,3e-09,33,0,12,0,0.010885675806015627,0.00027894894765042758,3.2988769092183952e-12,1.714113878539167e-12,3.1972870756191394e-12,1.5090881498313678e-12,1.0000000000000129,8.6418185466126364e-13,8.6438033370863098e-13,1.0000000000000002,0,soft,active,0,1
34,29,1,0,9.3235216158517322e-11,5.9300917340459447e-11,1.5090881498313678e-12,8.873196138788309e-13,8.1292025724490701e-13,8.0801110649137229e-13,1.5090881498313678e-12,8.873196138788309e-13,1,none,76,77,1.5987211554602254e-14,1.9650947535865271e-14,1,34,8.873196138788309e-13,8.0801110649137229e-13,8.873196138788309e-13,1,1,1,1,global_ok+active_ok,0,1,3e-09,34,0,12,0,0.010885675806100892,0.00027894894765261231,1.714113878539167e-12,1.2000908488058267e-12,1.5090881498313678e-12,8.873196138788309e-13,1.0000000000000147,2.1190502238543012e-13,2.1201484378225549e-13,1.0000000000000011,0,converged,converged,0,0
35,none,0,30,,,8.873196138788309e-13,8.873196138788309e-13,8.0801110649137229e-13,8.0801110649137229e-13,8.873196138788309e-13,8.873196138788309e-13,0,no_valid_correction,77,77,1.9650947535865271e-14,1.9650947535865271e-14,0,34,8.873196138788309e-13,8.0801110649137229e-13,8.873196138788309e-13,1,0,0,1,no_valid_correction,0,1,3e-09,34,1,12,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,inactive,inactive,0,0
