method,repeat,k,time_sec,iterations,matvecs,first_eigenvalue,relative_residual,status,error,tol,maxiter
PRIMME_DYNAMIC,1,10,0.22108817892149091,813,923,-75.731617400685792,9.7933337095754064e-13,0,,9.9999999999999998e-13,10000
IPT_CUDA_SPARSE,1,10,0.20600962312892079,100,1000,-75.731617400685678,8.8952275256059387e-15,0,,9.9999999999999998e-13,1000
