case,n,k,nnz,iterations,vector_max_abs_diff,value_max_abs_diff,max_relative_residual,diff_tol,residual_tol,status
synthetic_banded_k5,64,5,190,80,4.3368086899420177e-18,4.4408920985006262e-16,1.1101872513755869e-16,1e-08,1e-08,PASS
h20_fci_w_k1,10,1,100,80,1.5775988642611344e-20,0,2.1932331800459467e-22,1e-08,1e-10,PASS
