method,k,avg_solve_time_sec,avg_api_total_time_sec,avg_preparation_time_sec,avg_transfer_setup_time_sec,avg_iteration_time_sec,avg_rayleigh_ritz_time_sec,avg_iterations,avg_matvecs,last_first_eigenvalue,last_max_relative_residual,last_relative_fixed_point_residual,eigenvalue_abs_residual,status,error,tol,maxiter
PRIMME_CUBLAS,10,0.60880734277889137,0.61102529903873803,0,0.0022179562598466872,0,0,295.80000000000001,1294.4000000000001,-56.054516870360779,1.0441692705218305e-12,nan,0,0,,9.9999999999999998e-13,5000
IPT_CUDA_BLOCK_CLUSTER,10,0.25255042580000003,1.0919715560041368,0.26763196519999999,0.43753072119999992,0.1088317942,0.14371863160000001,100,1866,-56.054516870360821,4.1814484692040546e-13,2.0488664908909353,4.2632564145606011e-14,0,,9.9999999999999998e-13,1000
