davidson_step,active_pairs,accepted_corrections,rejected_corrections,correction_norm_before_ortho,correction_norm_after_ortho,residual_before_global,residual_after_global,pair_28_before,pair_28_after,pair_29_before,pair_29_after,accepted,reject_reason,basis_cols_before,basis_cols_after,orthogonality_error_before,orthogonality_error_after
31,29,1,1,3.9042581818054454e-09,2.3937322993131358e-09,5.6347363495617511e-11,2.9471375393973623e-11,5.3631611907796152e-14,5.3445705955228848e-14,5.6347363495617511e-11,2.9471375393973623e-11,1,none,39,40,1.4876988529977098e-14,1.3766765505351941e-14
32,29,1,1,1.5626024090974814e-09,1.1793095091300232e-09,2.9471375393973623e-11,1.6443858595982947e-11,5.3445705955228848e-14,5.2425091214442785e-14,2.9471375393973623e-11,1.6443858595982947e-11,1,none,40,41,1.3766765505351941e-14,1.532107773982716e-14
33,29,1,1,7.9952492375781932e-10,6.8332254040745678e-10,1.6443858595982947e-11,8.6876789684292793e-12,5.2425091214442785e-14,5.2298979114269995e-14,1.6443858595982947e-11,8.6876789684292793e-12,1,none,41,42,1.532107773982716e-14,1.4210854715202004e-14
34,29,1,1,4.9417976495723593e-10,4.2173042308958252e-10,8.6876789684292793e-12,5.7114042622864781e-12,5.2298979114269995e-14,5.0355736099086203e-14,8.6876789684292793e-12,5.7114042622864781e-12,1,none,42,43,1.4210854715202004e-14,1.4876988529977098e-14
35,29,1,1,4.5546775112743289e-10,3.3426627328206258e-10,5.7114042622864781e-12,5.3521991347496023e-12,5.0355736099086203e-14,5.0318110137384065e-14,5.7114042622864781e-12,5.3521991347496023e-12,1,none,43,44,1.4876988529977098e-14,1.5099033134902129e-14
36,29,1,1,4.2193558735644346e-10,2.7586851277960306e-10,5.3521991347496023e-12,5.2825700299360741e-12,5.0318110137384065e-14,5.0518754263335388e-14,5.3521991347496023e-12,5.2825700299360741e-12,1,none,44,45,1.5099033134902129e-14,1.4876988529977098e-14
37,29,0,2,3.0044481127115665e-10,2.1503399171101247e-10,5.2825700299360741e-12,5.3118726156978976e-12,5.0518754263335388e-14,5.0669191397995865e-14,5.2825700299360741e-12,5.3118726156978976e-12,0,global_not_improved,45,45,1.4876988529977098e-14,1.4654943925052066e-14
