N,epsilon,initial_precision,initial_tol,fp64_tol,initial_maxiter,fp64_maxiter,repeats,time_cusolver_syevd_sec,residual_cusolver_syevd,time_original_ipt_sec,residual_original_ipt,original_ipt_fixed_point_residual,original_ipt_iterations,time_initial_sec,time_fp64_refine_sec,time_mixed_total_sec,residual_mixed,initial_fixed_point_residual,fp64_fixed_point_residual,initial_iterations,fp64_iterations,initial_converged,fp64_converged,gpu_name,status,error
4096,0.03,fp16,0.001,9.9999999999999998e-13,1000,1000,5,0.2141858872026205,4.0500185750498661e-10,0.10310738245025278,2.7915664217517148e-10,6.6139305882270893e-13,11,0.0091317566111683846,0.086967014148831373,0.096099029760807753,2.7800157790350803e-10,0.00089707463003952704,6.5857882998423952e-13,2,9,true,true,NVIDIA A100-SXM4-80GB,ok,
4096,0.03,fp32,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,0.2141858872026205,4.0500185750498661e-10,0.10310738245025278,2.7915664217517148e-10,6.6139305882270893e-13,11,0.048703070636838673,0.064188393019139769,0.11289177555590868,2.7968979083586827e-10,2.3842463031001888e-07,6.6277639896863742e-13,5,6,true,true,NVIDIA A100-SXM4-80GB,ok,
8192,0.03,fp16,0.001,9.9999999999999998e-13,1000,1000,5,1.4503834385424852,1.5155939276058577e-09,0.76034512436017399,8.7929145944490025e-10,9.7118798939236657e-13,11,0.018331351317465307,0.63520233575254681,0.65353392874822025,8.7674513499316194e-10,0.00089838082371534805,9.6871014141485732e-13,2,9,true,true,NVIDIA A100-SXM4-80GB,ok,
8192,0.03,fp32,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,1.4503834385424852,1.5155939276058577e-09,0.76034512436017399,8.7929145944490025e-10,9.7118798939236657e-13,11,0.30220790198072789,0.44433573335409166,0.7465438795275986,8.79107409870432e-10,2.5630046068535634e-07,9.7213278112327133e-13,5,6,true,true,NVIDIA A100-SXM4-80GB,ok,
16384,0.03,fp16,0.001,9.9999999999999998e-13,1000,1000,5,8.8937401662580662,5.7475433945917397e-09,6.5207409092225133,4.6329221694710515e-10,2.4823612756395127e-13,12,0.082311088591814047,5.5237881748005746,5.6060996295884253,4.605194938766116e-10,0.00090045631364601704,2.4663763258471862e-13,2,10,true,true,NVIDIA A100-SXM4-80GB,ok,
16384,0.03,fp32,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,8.8937401662580662,5.7475433945917397e-09,6.5207409092225133,4.6329221694710515e-10,2.4823612756395127e-13,12,2.3484460934065283,4.0179618271999065,6.3664082595147189,4.6349615585424962e-10,2.808582697771206e-07,2.4850979865164426e-13,5,7,true,true,NVIDIA A100-SXM4-80GB,ok,
26000,0.03,fp16,0.001,9.9999999999999998e-13,1000,1000,5,33.269432190246881,1.5014639751672489e-08,25.687284357380122,9.0020077814384425e-10,2.7910168808043614e-13,12,0.3099344282411039,22.032764195743948,22.342699059285223,8.8891861476637886e-10,0.00090006991911950759,2.75562461072192e-13,2,10,true,true,NVIDIA A100-SXM4-80GB,ok,
26000,0.03,fp32,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,33.269432190246881,1.5014639751672489e-08,25.687284357380122,9.0020077814384425e-10,2.7910168808043614e-13,12,9.7723202215507623,16.024300223868341,25.796620918158442,8.981198320021377e-10,2.8159958142454419e-07,2.7869037984819812e-13,5,7,true,true,NVIDIA A100-SXM4-80GB,ok,
32768,0.03,fp16,0.001,9.9999999999999998e-13,1000,1000,5,6.4658932387828827e-05,nan,53.218701171595605,1.3603115582969602e-09,3.3764285461244694e-13,12,0.66638754950836299,45.462369866203517,46.128757863864301,1.3429382589741647e-09,0.00089930746063516739,3.3294684810683219e-13,2,10,true,true,NVIDIA A100-SXM4-80GB,partial_failed,CUSOLVER_STATUS_INVALID_VALUE
32768,0.03,fp32,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,6.4658932387828827e-05,nan,53.218701171595605,1.3603115582969602e-09,3.3764285461244694e-13,12,19.378132683690637,32.824841219093649,52.202974479831752,1.3633891031327618e-09,2.8934368512394045e-07,3.3843068520927763e-13,5,7,true,true,NVIDIA A100-SXM4-80GB,partial_failed,CUSOLVER_STATUS_INVALID_VALUE
