N,epsilon,initial_precision,initial_tol,fp64_tol,initial_maxiter,fp64_maxiter,repeats,time_cusolver_syevd_sec,residual_cusolver_syevd,time_original_ipt_sec,residual_original_ipt,original_ipt_fixed_point_residual,original_ipt_iterations,time_initial_sec,time_fp64_refine_sec,time_mixed_total_sec,residual_mixed,initial_fixed_point_residual,fp64_fixed_point_residual,initial_iterations,fp64_iterations,initial_converged,fp64_converged,gpu_name,status,error
4096,0.05,fp16,0.001,9.9999999999999998e-13,1000,1000,5,0.21423165109008552,4.0394926610472987e-10,0.13715592473745347,2.485880497678859e-10,3.3564600368641022e-13,15,0.009873931389302015,0.11208613067865372,0.12196040311828256,2.4927049554876479e-10,0.00018165176384541532,3.3670652564822243e-13,3,12,true,true,NVIDIA A100-SXM4-80GB,ok,
4096,0.05,fp32,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,0.21423165109008552,4.0394926610472987e-10,0.13715592473745347,2.485880497678859e-10,3.3564600368641022e-13,15,0.052841116767376663,0.085862708184868103,0.13870403878390788,2.4886616241726649e-10,5.2163896996600902e-07,3.3586479439294369e-13,6,9,true,true,NVIDIA A100-SXM4-80GB,ok,
8192,0.05,fp16,0.001,9.9999999999999998e-13,1000,1000,5,1.4504699038341642,1.5291033922517238e-09,1.0156197320669889,1.3074312667490588e-09,8.3808498099513764e-13,15,0.022773956786841153,0.82471826002001758,0.84749250523746011,1.3145747869253612e-09,0.00018387524016271988,8.4289245134705884e-13,3,12,true,true,NVIDIA A100-SXM4-80GB,ok,
8192,0.05,fp32,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,1.4504699038341642,1.5291033922517238e-09,1.0156197320669889,1.3074312667490588e-09,8.3808498099513764e-13,15,0.36082294583320618,0.63251203298568726,0.99333527097478513,1.3072921029419762e-09,6.1429122861731077e-07,8.3795923668864008e-13,6,9,true,true,NVIDIA A100-SXM4-80GB,ok,
16384,0.05,fp16,0.001,9.9999999999999998e-13,1000,1000,5,8.8956167582422498,5.7526432916162928e-09,8.508715193904937,1.6109551959106853e-09,4.8887310475930017e-13,16,0.11778255011886359,7.026244543492794,7.1440275148488581,1.623927948114219e-09,0.00018525581005232033,4.9300663559749511e-13,3,13,true,true,NVIDIA A100-SXM4-80GB,ok,
16384,0.05,fp32,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,8.8956167582422498,5.7526432916162928e-09,8.508715193904937,1.6109551959106853e-09,4.8887310475930017e-13,16,2.8122837274335324,5.5183231265284123,8.3306072705425329,1.6113810172338363e-09,7.0581054063972755e-07,4.8876159685426014e-13,6,10,true,true,NVIDIA A100-SXM4-80GB,ok,
26000,0.05,fp16,0.001,9.9999999999999998e-13,1000,1000,5,33.269445517286655,1.507842748984211e-08,33.966070508025588,3.4648916888332645e-09,6.1240710935865759e-13,16,0.45152856074273584,28.03011276703328,28.48164174966514,3.4946986010092835e-09,0.00018577794553708378,6.1809262476711437e-13,3,13,true,true,NVIDIA A100-SXM4-80GB,ok,
26000,0.05,fp32,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,33.269445517286655,1.507842748984211e-08,33.966070508025588,3.4648916888332645e-09,6.1240710935865759e-13,16,11.713227908499539,21.983599887602033,33.696828316524623,3.4657192881006513e-09,7.2114469510147518e-07,6.1240369019163411e-13,6,10,true,true,NVIDIA A100-SXM4-80GB,ok,
32768,0.05,fp16,0.001,9.9999999999999998e-13,1000,1000,5,8.9887995272874832e-05,nan,69.652448059245941,5.8803295447772498e-09,8.2469393391105158e-13,16,0.85883090766146775,57.556192104797809,58.415023485757409,5.956821485957639e-09,0.00018601049236681509,8.3681092143036646e-13,3,13,true,true,NVIDIA A100-SXM4-80GB,partial_failed,CUSOLVER_STATUS_INVALID_VALUE
32768,0.05,fp32,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,8.9887995272874832e-05,nan,69.652448059245941,5.8803295447772498e-09,8.2469393391105158e-13,16,23.263713027350605,45.166151366941634,68.429865051526576,5.8787208167194258e-09,7.4166080544931577e-07,8.2488940823572097e-13,6,10,true,true,NVIDIA A100-SXM4-80GB,partial_failed,CUSOLVER_STATUS_INVALID_VALUE
