N,epsilon,initial_precision,initial_tol,fp64_tol,initial_maxiter,fp64_maxiter,repeats,time_cusolver_syevd_sec,residual_cusolver_syevd,time_original_ipt_sec,residual_original_ipt,original_ipt_fixed_point_residual,original_ipt_iterations,time_initial_sec,time_fp64_refine_sec,time_mixed_total_sec,residual_mixed,initial_fixed_point_residual,fp64_fixed_point_residual,initial_iterations,fp64_iterations,initial_converged,fp64_converged,gpu_name,status,error
4096,0.04,fp16,0.001,9.9999999999999998e-13,1000,1000,5,0.21477431450039147,4.0444468283791091e-10,0.12003982076421379,2.900546550279069e-10,4.9458332172447231e-13,13,0.0098543258383870132,0.09495765995234251,0.1048122544772923,2.9203587146121974e-10,9.3024651142612467e-05,4.9807209666834027e-13,3,10,true,true,NVIDIA A100-SXM4-80GB,ok,
4096,0.04,fp32,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,0.21477431450039147,4.0444468283791091e-10,0.12003982076421379,2.900546550279069e-10,4.9458332172447231e-13,13,0.044757752679288387,0.077319397404789922,0.12207744894549251,2.9005094914893862e-10,9.9691134601696121e-07,4.9457459738449722e-13,5,8,true,true,NVIDIA A100-SXM4-80GB,ok,
8192,0.04,fp16,0.001,9.9999999999999998e-13,1000,1000,5,1.4496381036005914,1.5325842747850873e-09,0.88538141520693903,1.0911266749393179e-09,8.8489704332339998e-13,13,0.024535813834518194,0.69773408500477674,0.72227018475532534,1.091615007086111e-09,9.4598094537277723e-05,8.8609962742127995e-13,3,10,true,true,NVIDIA A100-SXM4-80GB,ok,
8192,0.04,fp32,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,1.4496381036005914,1.5325842747850873e-09,0.88538141520693903,1.0911266749393179e-09,8.8489704332339998e-13,13,0.36125750252977012,0.50763268889859314,0.86889054626226425,1.0909309974528652e-09,1.6032187287372548e-07,8.8444163058569778e-13,6,7,true,true,NVIDIA A100-SXM4-80GB,ok,
16384,0.04,fp16,0.001,9.9999999999999998e-13,1000,1000,5,8.8958870324306183,5.7607953428330644e-09,7.5259916916489598,8.4954345999171098e-10,3.2328340605675751e-13,14,0.11761305825784803,6.0360315890982745,6.1536450590007004,8.671424691188561e-10,9.5089409666334015e-05,3.3063284811690819e-13,3,11,true,true,NVIDIA A100-SXM4-80GB,ok,
16384,0.04,fp32,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,8.8958870324306183,5.7607953428330644e-09,7.5259916916489598,8.4954345999171098e-10,3.2328340605675751e-13,14,2.8120596228167414,4.5112951968796553,7.3233551432378592,8.4986908237188376e-10,1.8440366207464733e-07,3.2396800514183096e-13,6,8,true,true,NVIDIA A100-SXM4-80GB,ok,
26000,0.04,fp16,0.001,9.9999999999999998e-13,1000,1000,5,33.269372733682395,1.5191855972614804e-08,29.910399705637246,1.9424241927757247e-09,4.5303926512354825e-13,14,0.45293478993698955,24.032396968919784,24.485332313366236,1.9848242096633897e-09,9.5577495272591707e-05,4.6388015673606143e-13,3,11,true,true,NVIDIA A100-SXM4-80GB,ok,
26000,0.04,fp32,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,33.269372733682395,1.5191855972614804e-08,29.910399705637246,1.9424241927757247e-09,4.5303926512354825e-13,14,11.731021405383945,18.091298368666322,29.822320294938983,1.9434081671380088e-09,1.9233975229403429e-07,4.5339815461635778e-13,6,8,true,true,NVIDIA A100-SXM4-80GB,ok,
32768,0.04,fp16,0.001,9.9999999999999998e-13,1000,1000,5,6.6696666181087494e-05,nan,61.479279271606359,2.7300223569950917e-09,4.873106276366147e-13,14,0.85018604472279546,49.210097486432645,50.060284053161737,2.809090892557625e-09,9.5674062866632045e-05,5.0244688550800557e-13,3,11,true,true,NVIDIA A100-SXM4-80GB,partial_failed,CUSOLVER_STATUS_INVALID_VALUE
32768,0.04,fp32,9.9999999999999995e-07,9.9999999999999998e-13,1000,1000,5,6.6696666181087494e-05,nan,61.479279271606359,2.7300223569950917e-09,4.873106276366147e-13,14,23.261888289824128,36.900337782967839,60.162226784229276,2.7278565341786453e-09,1.9432954936390936e-07,4.8685406302777144e-13,6,8,true,true,NVIDIA A100-SXM4-80GB,partial_failed,CUSOLVER_STATUS_INVALID_VALUE
