davidson_step,active_pair_index,residual_before,residual_after,accepted,basis_cols,max_relative_eigen_residual,max_relative_eigen_residual_index,pair_28_residual,pair_29_residual,orthogonality_error
1,29,0.00068316737095285224,3.1024553491392238e-05,1,34,3.1024553491392238e-05,29,1.9811683251755857e-11,3.1024553491392238e-05,1.1102230246251565e-14
2,29,3.1024553491392238e-05,1.0490536957414146e-05,1,35,1.0490536957414146e-05,29,1.9746815592131092e-11,1.0490536957414146e-05,1.6653345369377348e-14
3,29,1.0490536957414146e-05,6.4251693881474755e-06,1,36,6.4251693881474755e-06,29,1.9654199691166738e-11,6.4251693881474755e-06,1.4543921622589551e-14
4,29,6.4251693881474755e-06,6.3867598876886965e-06,1,37,6.3867598876886965e-06,29,1.9529191609799481e-11,6.3867598876886965e-06,1.2656542480726785e-14
5,29,6.3867598876886965e-06,4.6559847706997521e-06,1,38,4.6559847706997521e-06,29,1.9132110946014397e-11,4.6559847706997521e-06,1.3766765505351941e-14
6,29,4.6559847706997521e-06,2.9402642924752766e-06,1,39,2.9402642924752766e-06,29,1.9139619127657192e-11,2.9402642924752766e-06,1.2212453270876722e-14
7,29,2.9402642924752766e-06,1.8756979968471287e-06,1,40,1.8756979968471287e-06,29,1.9114334004207312e-11,1.8756979968471287e-06,1.5543122344752192e-14
8,29,1.8756979968471287e-06,1.267673541592198e-06,1,41,1.267673541592198e-06,29,1.841500673528556e-11,1.267673541592198e-06,1.5765166949677223e-14
9,29,1.267673541592198e-06,8.9558592922321144e-07,1,42,8.9558592922321144e-07,29,1.8410062053065809e-11,8.9558592922321144e-07,1.532107773982716e-14
10,29,8.9558592922321144e-07,5.897235700335641e-07,1,43,5.897235700335641e-07,29,1.8442741409036999e-11,5.897235700335641e-07,1.4432899320127035e-14
