davidson_step,active_pairs,accepted_corrections,rejected_corrections,correction_norm_before_ortho,correction_norm_after_ortho,residual_before_global,residual_after_global,pair_28_before,pair_28_after,pair_29_before,pair_29_after,accepted,reject_reason,basis_cols_before,basis_cols_after,orthogonality_error_before,orthogonality_error_after
31,29,1,1,2.3685542247805831e-09,1.3936119474320957e-09,3.2651644144312202e-11,2.1334571832640293e-11,4.8815233462690278e-14,4.8589152279047339e-14,3.2651644144312202e-11,2.1334571832640293e-11,1,none,38,39,1.5543122344752192e-14,1.3766765505351941e-14
32,29,1,1,1.3698501377997637e-09,8.1968067307252143e-10,2.1334571832640293e-11,1.3074418879856573e-11,4.8589152279047339e-14,4.7418012227106996e-14,2.1334571832640293e-11,1.3074418879856573e-11,1,none,39,40,1.3766765505351941e-14,1.6653345369377348e-14
33,29,1,1,8.8387329537009804e-10,5.6489456273344961e-10,1.3074418879856573e-11,1.0145573187635898e-11,4.7418012227106996e-14,4.7399135291881605e-14,1.3074418879856573e-11,1.0145573187635898e-11,1,none,40,41,1.6653345369377348e-14,1.865174681370263e-14
34,29,1,1,5.7900970477660765e-10,3.8546227647341307e-10,1.0145573187635898e-11,7.1195387209679936e-12,4.7399135291881605e-14,4.7494235756438384e-14,1.0145573187635898e-11,7.1195387209679936e-12,1,none,41,42,1.865174681370263e-14,1.532107773982716e-14
35,29,1,1,3.4252680267922763e-10,2.5198682360741243e-10,7.1195387209679936e-12,4.498948434511759e-12,4.7494235756438384e-14,4.7486249603979912e-14,7.1195387209679936e-12,4.498948434511759e-12,1,none,42,43,1.532107773982716e-14,1.2656542480726785e-14
36,29,1,1,2.5009329249106872e-10,2.1216253118515708e-10,4.498948434511759e-12,3.4706464717530099e-12,4.7486249603979912e-14,4.7601796668612994e-14,4.498948434511759e-12,3.4706464717530099e-12,1,none,43,44,1.2656542480726785e-14,1.354472090042691e-14
37,29,1,1,2.330497878151349e-10,1.7858475410670427e-10,3.4706464717530099e-12,2.7664067718955616e-12,4.7601796668612994e-14,4.7681498159582585e-14,3.4706464717530099e-12,2.7664067718955616e-12,1,none,44,45,1.354472090042691e-14,1.354472090042691e-14
38,29,1,1,2.1131085784459779e-10,1.3099101718209796e-10,2.7664067718955616e-12,2.1854337860339553e-12,4.7681498159582585e-14,4.7731162370313771e-14,2.7664067718955616e-12,2.1854337860339553e-12,1,none,45,46,1.354472090042691e-14,1.4654943925052066e-14
39,29,1,1,1.2311138487549882e-10,8.7802579146895211e-11,2.1854337860339553e-12,1.6973875805366522e-12,4.7731162370313771e-14,4.7442192873853146e-14,2.1854337860339553e-12,1.6973875805366522e-12,1,none,46,47,1.4654943925052066e-14,1.4099832412739488e-14
40,29,1,1,6.5560034766140368e-11,5.7179922050938619e-11,1.6973875805366522e-12,1.1001409940799628e-12,4.7442192873853146e-14,4.7659875182186794e-14,1.6973875805366522e-12,1.1001409940799628e-12,1,none,47,48,1.4099832412739488e-14,1.4876988529977098e-14
41,29,1,1,6.1519273784286979e-11,4.7379714338824118e-11,1.1001409940799628e-12,8.2587668260405075e-13,4.7659875182186794e-14,4.750864578899088e-14,1.1001409940799628e-12,8.2587668260405075e-13,1,none,48,49,1.4876988529977098e-14,1.7763568394002505e-14
42,29,1,1,4.317419322137451e-11,3.4119683471517589e-11,8.2587668260405075e-13,6.2076133633853233e-13,4.750864578899088e-14,4.7300650816821267e-14,8.2587668260405075e-13,6.2076133633853233e-13,1,none,49,50,1.7763568394002505e-14,1.5987211554602254e-14
43,29,1,1,3.4355931400300359e-11,2.5408247120600473e-11,6.2076133633853233e-13,3.8553436081652056e-13,4.7300650816821267e-14,4.7693854499138135e-14,6.2076133633853233e-13,3.8553436081652056e-13,1,none,50,51,1.5987211554602254e-14,1.532107773982716e-14
44,29,1,1,2.3969630739512956e-11,1.7155315753851625e-11,3.8553436081652056e-13,2.1746938479923557e-13,4.7693854499138135e-14,4.8129802830462959e-14,3.8553436081652056e-13,2.1746938479923557e-13,1,none,51,52,1.532107773982716e-14,1.3988810110276972e-14
45,29,1,1,1.564415511683599e-11,9.3915220410554027e-12,2.1746938479923557e-13,1.0620245124357644e-13,4.8129802830462959e-14,4.760993694633456e-14,2.1746938479923557e-13,1.0620245124357644e-13,1,none,52,53,1.3988810110276972e-14,1.7985612998927536e-14
46,29,1,1,5.2780148931320927e-12,3.6170927726188591e-12,1.0620245124357644e-13,9.2038145973089731e-14,4.760993694633456e-14,4.6104139288650409e-14,1.0620245124357644e-13,5.5753723744212597e-14,1,none,53,54,1.7985612998927536e-14,1.532107773982716e-14
47,none,0,2,,,9.2038145973089731e-14,9.2038145973089731e-14,4.6104139288650409e-14,4.6104139288650409e-14,5.5753723744212597e-14,5.5753723744212597e-14,0,no_valid_correction,54,54,1.532107773982716e-14,1.532107773982716e-14
