method,exit_code,status,requested_k,returned_k,basis_cols,iterations,matvecs,solve_time_sec,solve_time_source,max_relative_eigen_residual,max_relative_eigen_residual_index,relative_fixed_point_residual,best_so_far_updated,best_so_far_step,best_so_far_source,best_so_far_max_residual,final_returned_from_best_so_far,pair28_best_residual,pair29_best_residual,relaxed_accept_enabled,accepted_steps,rejected_steps,min_accepted_steps,early_jump_to_continuation,passed_relative_threshold,result_dir,log_dir
IPT_block_active_selective_Davidson,3,failed,30,30,45,200,,5.447976e+00,ipt_log_solve_field,1.2137364597143928e-12,29,0.99966067936334946,1,42,davidson_continuation,1.2137364597143928e-12,0,7.2414920678679026e-14,1.2137364597143928e-12,1,42,1,12,0,0,/fs1/home/nudt_liujie/ftt/IPT_C_GPU/results/sparse/CH4_K30_debug/ipt_vs_primme_k30_v1/relaxed_success_fullretry_20260704_000426/ipt_block_active_davidson,/fs1/home/nudt_liujie/ftt/IPT_C_GPU/logs/sparse/CH4_K30_dubug/ipt_vs_primme_k30_v1/relaxed_success_fullretry_20260704_000426/ipt_block_active_davidson
PRIMME_JDQMR_ETol,0,success,30,30,,59,3837,7.0880965179530904,primme_timing_csv_solve_time_sec,4.6461638770255598e-13,29,,,,,,,,,,,,,,1,/fs1/home/nudt_liujie/ftt/IPT_C_GPU/results/sparse/CH4_K30_debug/ipt_vs_primme_k30_v1/relaxed_success_fullretry_20260704_000426/primme_jdqmr_etol,/fs1/home/nudt_liujie/ftt/IPT_C_GPU/logs/sparse/CH4_K30_dubug/ipt_vs_primme_k30_v1/relaxed_success_fullretry_20260704_000426/primme_jdqmr_etol
